Context,Response
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.    How can I overcome this pain and learn to be happy alone?,"Is it possible that even though your illness is chronic, that it goes through phases in which you are more comfortable and that it requires less focus from you than at other times?I think the idea of having a lifelong illness is frustrating and can be depressing to think about.  Thoughts are not necessarily the truth of what will actually happen though.Illness makes negative situations look worse so be sure you are concentrating on specific areas of your life and not just assuming they will work out badly because you are ill.One way to be happy alone is to love and appreciate, nurture and be kind to yourself.This frame of mind may generate new answers to find ways of being among other people too."
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.    How can I overcome this pain and learn to be happy alone?,"I'm so sorry you're feeling like things will never get better. Try to remember that whatever illness you are dealing with, you are not the only person to have dealt with it and you are not alone! Out there, just waiting for you, is a group of people that will totally understand what you're going through and will be able to share how they coped. Try searching for a support group for your illness - google and www.psychologytoday.com are both good places to start for those groups."
"How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent.","Hello. So, someone made you happy but is no longer around? I am sure that feels devastating. As a counselor I usually have to ponder this kind of thought because it lends itself to suggesting that happiness comes from the external, rather than the internal side of a person's life. Happiness is formed within ourselves. All the external trappings of happiness are usually quite fleeting, and temporary. Even relationships fo not last forever. If we get to a place where we are reliant and dependent on those around us to create happiness in our lives, then we lose the opportunities for us to do it ourselves. We are entirely capable of finding ways to be happy. Sometimes this entails working out issues that are holding us back from reaching a place of peace, or resolution to a specific problem.What I would offer to you, is to find ways in which you can develop happiness for yourself. What do you like about your life as it is right now? What can you do to create change in your life to increase your happiness? These kinds of questions can be valuable to you as you seek out ways to make happiness an internal rather than an external event. Mourning the loss of a social connection (in whatever way that occurred), is part of the grieving process, but it is not permanent. It is a path to healing and moving forward. From this, you can seek out new sources of happiness. I encourage you to remember that happiness is independent of the external experience you have in the world. Happiness is an expression of the internal feelings, so that will be the source or the font of positive emotion from which you really draw. If you are lacking in happiness, then it becomes important to examine why that is, and what you can do about it to promote self-care. Seeking out a professional counselor can also be a good option as you move through the grief/loss process and examine the reasons happiness is not in greater supply.I wish you happiness for every day of your life.Best wishes."
"How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent.","It sounds like you have been feeling pretty down, since the loss of a relationship, and you're wondering how to be happy by yourself. Intimacy is a very natural human desire and at the same time learning to enjoy ourselves, even when we are alone, can strengthen our ability to lead a satisfying life in and out of relationship. Working with a therapist, you may be able to gain insight into how you show up in your relationships with yourself and others and discover more fulfilling ways to do so."
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.","It is hard to make a definite diagnosis however I would say  that it could be and or a combination of depression, stress, PTSD, etc.  More background information would have to be needed.  One thing I would say is that you really need to seek guidance from a professional to work through these symptoms.  If what you described as a caged animal is released, all the crying, sadness, and controllable emotions will come out.  That would not be good when they do.  Get help before they do.."
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.","As far as the formal diagnosis of depression goes, it would be hard to determine without more information. It sounds like you are noticing that there is a significant difference between how you are feeling on the inside and how you express yourself outwardly. Part of you is quite distressed and yet it remains invisible to the outside world, almost as if it is trapped inside of your body. Many people who are depressed experience such things as intrusive thoughts, emotional numbness, difficulty expressing themselves, and bodily tension (caged animal?). In working with a competent therapist, you may be able to get more insight into what you are going through, the nature of the disconnect between you inner feelings and outer expression, and eventually gain relief from the distress as well as a greater sense of connection with yourself and personal freedom."
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.","It sounds like you are trying to find a label to help you to understand why you are feeling the way you are feeling.  Sometimes there are no labels for how we feel.  Sometimes there is no name for the emotions that we are experiencing. Regardless, you do not have to continue to feel this way, no matter what you call it.  If you are seeking to experience an internal calmness such as your external calmness, you may want to try some mindfulness practices or meditation.  However, being able to get at the root cause of what you are feeling may be what you need to help you release this feeling for the long term.  I recommend seeking support for this to allow this internal screaming to get some air and begin to breathe."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","First of all, I am sorry that you have been missing out on your childhood. It may help you to know that many of us feel that we have missed out on our childhoods, as well, and that despite such deprivations, for many of us, our adult lives have been extraordinarily fulfilling due to our opening up to trusted adults. I recommend that you find a trustworthy adult to talk to. This may be a teacher, a coach, a school counselor, a minister, a family member, or a friend's family member. If none of these are available, try out a professional counselor, social worker, psychiatric nurse practitioner, psychologist, or a psychiatrist. It is best to get a referral for such a professional from a peer who has had a positive and safe experience with a particular provider."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","Life sounds extremely frustrating for you right now.As long as you've reached your conclusion that your parents do not take you seriously when you would like to speak with them on a serious topic, and that you feel unable to trust either of them, then work with your own information.Many people don't know how to listen and aren't trustworthy.  As painful and aggravating as having parents who fit this description, you're better off to honor what you realize than to continue fighting what is not in your hands to change.Since you write about having a similar problem with friends, then maybe this comes about because you pick friends who are similarly unsatisfying to be with as are your parents.The first step out of this dilemma would be to accept how crummy you feel about the way your parents are toward you.If you're able to live with the sadness and resentment of having parents who don't want to know how to understand you, then you'll start to develop a new and more satisfying definition of what you expect from the behaviors of your friends.Trust yourself that what you feel and see is accurate, then it becomes easier to trust and welcome new people who are formatted differently than either your parents or your friends who sound very similar to your parents' ways."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","I'm sorry you feel so alone and isolated, those feelings in and of themselves can lead to depression, stress and anxiety.  So job one is finding someone you can talk to.  A good friend or an open parent can be as helpful as a professional counselor, but if you don't have those, then by all means call your local Mental Health Association, suicide prevention, or go see your school counseling department. There are many of us now who do on-line, FaceTime, phone counseling so that is an option to consider in your situation.  On the other hand,  If you want to script a conversation with your parents (I'm a great believer in scripting) not that you're going to read it to them, but if you write down exactly what you want to say, read it over a few times before you're ready to have the conversation.  Why?  You'll be much more likely to do it if you're prepared, and you'll  have a better chance of saying everything you want to say in a calm but forceful way.  The same with your friends--you are probably a great listener and therefore attract people who want to talk--so you need to let these friends know you need something in return.  If you practice asking for equal talk time, then perhaps these friends will respond and surprise you, or if you make those demands you'll start attracting people who are looking for equality in friendships.  Now back to that script--first decide do you want to talk to both parents at once, or one at a time.  Then begin to write down the points you want to make such as:   I love you, and I know you love me but I don't feel as though I can trust your love to be unconditional enough to tell you who I really am, and how I really feel.  Find your own words to describe your own feelings.  If I can help, get in touch. You are right to reach out starting here, there are no prizes for suffering in silence and, as you already know, little joy in going it alone."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","One of the most difficult challenges we face is not being heard! It is incredibly frustrating and hurtful when others, especially parents, do not listen. While your parents surely love you and want to understand you, it may be difficult for them to fully understand your feelings and experiences. They are quite a bit older and have likely not dealt with some of the struggles that you face. I would suggest communicating your feelings to them about not being heard. Talk to them during a non-emotional moment when the discussion is not already heated. In other words, do not wait until an argument ensues to have an open discussion with them about how you are feeling. Prepare them by asking them what time is good for them to talk. Let them know you have something important to get off your chest. Try and avoid using exaggerated or extreme language such as ""you NEVER listen,"" ""you ALWAYS say..."" and stray away from placing blame. Instead of beginning your statements with ""you"" try using ""I"" by letting them know how their behavior effects you. Finally, let them know that they are important to you and that having their trust and support would mean a lot to you. Perhaps giving them suggestions as to what you wish for and would like to see change would help them to better understand.I would also suggest that you seek guidance from a therapist, teacher, or school counselor if possible. Most schools have counseling resources on sight in which a trained professional is available to talk with students looking for help.Best of luck to you."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","First, thank you for sharing such deep personal information. It can be difficult to share such intimate information. To begin, it sounds likes your primary concern your desire to speak to someone who takes your mental health seriously. You've tried talking to your parents and your friends and neither have made that connection in the area you need. I'm sorry to hear that. it's unfortunate. However, I think a couple things can be done to try to address this. If you want support1) Parents- Sit down with one of them and tell them with all seriousness that you need to talk about something that is affecting you deeply. Perhaps speaking to both can be too much for one room. If you try to speak to mom or dad by themselves, it may create that intimate atmosphere needed to understand where you are coming from. 2) Friends: Like parents it can be difficult to speak to your friends about challenges with your mental health. When you're feeling down and anxious, friends can be great help or not their at all. With friends, it may be one of those things where you also need to create an intimate environment with one friend to speak to about your sadness and anxiety. If anything, speak to the fact you're hurt and help them understand that if they can't understand the depressionIf you don't want support Coping Strategies: Identify coping skills and strategy that help you when you're feeling down. Ideas:A.) JournalingB) PaintingC) ExerciseD) MusicE) Reading AffirmationF) Listening To Motivation Videos"
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","Teenage years are rough for anyone, and this is a time for self-discovery and experimentation. Having older parents can certainly pose challenges. Most kids feel like their parents don't understand them, but yours are older than the average parents of teenagers. They're from a completely different generation than you are. It sounds like they love you, but may not understand you. The problem here is the generation/age gap, and there's not a whole lot you can do about that. What you can do is accept the situation and perhaps look at it a little differently. It seems like you're looking for affirmation from them, looking for their approval and understanding. It's never a good idea to look to others to define who you are or to get a self-esteem boost. Who you are and how you feel about yourself needs to come from inside, not from outside. One way you can have a better relationship with your parents is to stop looking at all the things you aren't getting from them that you want, and rather look at all the things you are getting from them. Yes, this is a glass half full or half empty point of view, but it works. The negative will overshadow the positive if you let it. Start looking for the good things in your relationship with your parents and your feelings towards them will become more positive.I'm not sure how your friends/peers made you feel like your childhood has been taken from you. That's a curious statement, and requires a deeper conversation to understand where that came from. However, I do understand feeling different and out of place, especially in high school. Find the strength within yourself rather than looking to others in your life to make you feel better or feel like a complete person. It helps to have friends and loved ones, but you can never rely on them to fulfill all of your needs. Set some goals for your future, work towards them. Focus on being the best YOU that you can be, and the right people will enter your life at the right time."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","Hi there. Being 15 years old can be a very difficult time in your teenage life. I remember when I was 15 and how I often felt my parents weren’t listening to me. It’s even more difficult when you feel that you do not have a friend that you can confide in. Having depression in the past and being able to get through it shows me that you can get through anything! Depression alone is a very difficult problem to work through. In addition to the communication problem with your parents, it appears that you are also struggling with stress and anxiety. We all have stress and anxiety in our lives. If we didn’t, none of us would be living. Anxiety & stress keep us on our toes! Often, I have to remind myself of this as well. However, it is how we manage stress and anxiety, so it will not overcome our lives. Are you familiar with relaxation techniques, such as: deep breathing exercises, meditation or yoga? Relaxation Techniques can help you tremendously in reducing your stress and anxiety. Deep breathing exercises are helpful when you are on the go, such as school, shopping, out with friends or whatever extracurricular activities you engage in. Most people do not take full advantage of their lung capacity. I know, that sounds silly. But, it’s true. You would be surprised how much air you lungs can hold. Imagine being in the Doctor’s office and taking deep breaths. This is what you want to do when you are feeling overwhelmed and/or stressed. Take a moment to take in at least 10 deep breaths and let them out slowly. You will be surprised how well you feel afterwards. Meditation and Yoga are also healthy forms to working through stress and anxiety. You will need a quiet place for your meditation. You want to be “in the moment” and take in the peace and serenity. All it takes is a quiet place, closing your eyes and thinking of your “happy place.” Some people use meditation music as well. If you have access to this type of music and or the internet for more ways to practice meditation, please go for it! Yoga on the other hand will take a little more work and practice. I would not suggest you learning this on your own, if you have never attempted yoga before. Find an experienced Yoga instructor to teach you the ropes and/or ask your school counselor about the possibility of getting someone to come to the school to teach the students. Lastly, in regards to your parents it is very important to be able to have a relationship where you feel comfortable communicating. I would recommend writing a letter to them, if you are unable to express how you feel in person. A letter is more intimate and requires a little more effort on their end. If they are open on working on this relationship, maybe suggest family counseling to fully work on this issue. I hope this was helpful for you and I wish you the best!"
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","A feeling of emptiness can be from a lack of awareness and acknowledgment for the things, the people, the places that you have in your life. The use of affirmation and gratitudes helps to remind ourselves of all of the aspects of our lives."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","Your question is very broad because feeling empty can develop for many different reasons.You're certainly not alone in feeling this way!Try to follow the logic of your feelings by asking yourself questions about the empty feeling.   Doing this may open up a discovery about the reason for the emptiness feeling.When do you feel empty, are there certain situations it happens more often than another, what helps the feeling go away, what or who is helpful in relieving the empty feeling.Sometimes people need a little help to get started in understanding how to recognize their feelings.Consider a therapist, any disciplined practice which encourages self-knowledge, such as some yoga practices, and a creative discipline like photography or music. As long as you concentrate on increasing your self-understanding, eventually you'll find the answer to your question!"
"People who are parental figures in my life have, in the past, hurt me, and some continue to do so. It makes me feel like I'm not good enough for my husband or the life he provides me. I have had jobs, but I am going through a lot of my past garbage and trying to figure out when it all went wrong. Any time I bring these things up, I am expected to be over the issue. These are people that you can't just cut out, but I have never received apologies for so much of my pain. I don't know what to do any more. I don't know who I am anymore.","It sounds like you have been thinking about how past hurts have influenced you, and when you try to talk about these hurts with people in your life, you are feeling invalidated. It also sounds like current conflicts are continuing to leave you feeling hurt and devalued. In working with a therapist, you may be able to get some clarity about your past, who you are, and what kinds of boundaries you want in your relationships, so that you can lead a life that is more satisfying to you."
"People who are parental figures in my life have, in the past, hurt me, and some continue to do so. It makes me feel like I'm not good enough for my husband or the life he provides me. I have had jobs, but I am going through a lot of my past garbage and trying to figure out when it all went wrong. Any time I bring these things up, I am expected to be over the issue. These are people that you can't just cut out, but I have never received apologies for so much of my pain. I don't know what to do any more. I don't know who I am anymore.","Hello. Adults who come from abusive home histories (physical, emotional, or even psychological), may take a long time to heal from that abuse. We carry our past with us everywhere we go, and it is up to us to find resolutions to past hurts. This is often easier said than done, but it is possible. From the perspective of those with whom you have shared your concerns, it might be assumed that based on where you are in life and who you are now, that you have already worked through any issues from your younger years. Some of our deepest scars in life are indeed invisible and suppressed. We have to get to the place where we can take care of the inner child that is still hurting, by recognizing that those who hurt us - however they did, might have had their own challenges which prevented them from functioning and behaving in ways we might have deeply needed. Those who have directly hurt you, may not be capable of acknowledging and understanding how you were affected by their actions - even in the worst of cases. They themselves may be doing what they can, either out of shame or heartbreak for their own actions, to work on forgetting how they behaved toward you all those years before. How are they behaving toward you now? Can you find it in your heart to forgive those who have hurt you? Forgiveness is the gift we give ourselves, and isn't dependent on an apology from an offender. By forgiving (even in the absence of any apology), we are releasing the weight of the burden we are carrying that reflects the offense we feel was committed against us. Sometimes therapy can be helpful in this process. Talking with someone who can be non-judgmental and reflects an empathetic position toward you might be what you need right now. Seeking out a therapist to help you work through these negatives feelings and thoughts is much easier, than trying to go it alone. I would encourage you to reach out and find someone who resonates with you on that journey, so that you can begin a path toward healing.Warm regards,Shawn Berthel, M.S., LMHC"
I am going through a very hard time and I'm so depressed. My parents are getting a divorce and a lot of bad things are happening. I want to lull myself.,"It sounds like a tough time and it's normal to feel down when your family is going through a divorce or other hardship. There's a difference between feelings like sadness, discouragement, grief, loneliness and depression, though. Sadness is sadness and sometimes we have to go through a grieving or other process, that is a normal reaction to events in our lives. Depression, on the other hand, is more about being stuck. Lulling yourself with self-care sounds like a healthy response and a way to give yourself support. So as to the uncomfortable but healthy part of your feelings, do the best you can to put names to it and share with a trusted other person. You will find comfort. The part of your situation that's depression -- feeling stuck, not able to get out of bad, concentrate, changes in sleeping and eating, loss of enjoyment in living, poor hygiene, feelings of hopelessness, that's different. First step, identify your own symptoms of depression. If you have any thoughts of hurting yourself, tell someone. If you're not sure, you can try 800-lifenet or other support line to get feedback. First aid for depression includes: daily care and feeding, good sleeping and eating, lots of exercise--even when you don't feel like it-- healthy socializing, and focusing on talking to yourself in a positive way. If you aren't able to move yourself out of your depression,  work with a professional to make short-term goals and get some support. You may also talk to your doctor or psychiatrist about trying an anti-depressant to give you a little lift while you go through a rough patch.Best wishes,Karen"
I am going through a very hard time and I'm so depressed. My parents are getting a divorce and a lot of bad things are happening. I want to lull myself.,"Consider yourself quite normal for feeling overwhelmed and depressed about your parents divorce.   This is the most natural way to feel at this time.Depending on how old you are, and whether you live under their roof,  are dependent on their support, and are either part of the decision or not, of with whom and where you will live, start considering these points.How did you find out about the upcoming divorce?Are either of your parents reluctant to answer your questions or is it clear that neither of them want to talk about anything with you?Whatever your fears and questions about your own future, these are all real.  It is necessary for you to know about your basic future.If you are living on your own and the main problem is your inner adjustment that your family structure is completely changing, then probably a good therapist would be a great help to you now, to clarify these tensions.Sending lots of good wishes for an easy resolution to your new path!"
"My depression has been reoccurring for a long time. It all started when I was being bullied in high school. In ninth grade, my principal told me I needed to stay home for a couple days to protect myself while she spoke to my classmates. I needed professional help for my stress because I was having crying spells from the stress of going to school and confronting my classmates. After that, I was fine for a couple of years. I entered my first year of college in a really tough program with high demands of expected work. I believe my depression re-booted from there with the stress. I began to cut myself because a friend of mine at the time told me how she used to do the same and it used to feel good for her. Obviously, that wasn't the right choice. I regret ever doing that, seeing as even though I'm not self-harming anymore, I always look back at that time whenever I feel very stressed. I have a big problem with handling problems in life. Whenever a problem arises, I get stressed and I feel hopeless, as if it's not going to get better. I get way too stressed from my problems, which leads to overreacting a lot (especially when talking to others), which then leads to depression. I have a hard time coping with stress because I know that if I could handle it easily then I wouldn't be sad all the time, and I would say and do the right thing instead of overreacting to my loved ones.","I couldn't help but notice that you did not specify your age, so I am unable to set the total chronological order and length that you have suffered in this way, but I want to start by commending you on seeking out additional coping techniques on your own.  Unfortunately, it sounds like you were offered some that were more dangerous than helpful, but be proud that you were able to curb those before they caused too much harm. From what you have written, stress has always been a difficult thing for you to manage.  Often, when I am working with those who offer the same concern, there is a degree of people pleasing that comes with that stress.  When we are trying to make others happy, especially when we are unable to distinguish the proper ""rules for success"", it can make even the simplest of tasks overwhelming. Stress management is just that, management; of our own anxieties about the needs of others, about our skills and the ability to complete a task and having multiple requests at any given time. Each of these aspects requires a separate sets of ""tools"" to manage them accordingly. For example, assertiveness communication training could aid in communicating with your colleagues to manage their expectations of your deadlines and abilities, but it will not assist you with managing your own anxieties. Try to separate the different areas of the problem, in order to help yourself to find a solution and work on them in their own time. Perhaps keeping a journal will help you to better understand why you are so easily overwhelmed by stress and help you track some of your less-helpful responses to stress. For example, does a certain person's style of communication always make you feel undervalued and therefore push you to finish their requests first? Is there a certain time of the day where you start to fall off in productivity?  Is that the time fo the day where you also tend to pile up your requirements?Try to ask yourself some of these harder questions and see where they lead you."
"I've been depressed for quite a while. I've been trying to work through it, and my boyfriend has been my rock. He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression. I cannot afford to see a therapist or anything, so he saw no hope in staying with me. My insurance has a $5000 deductible, so I’m screwed. I've had everything from suicidal thoughts to trying to quit my job. I have no one. My family doesn't care about me; they kicked me out when I turned 18 a few years ago. I had friends, but they have all moved on with their lives and have no time for me. My ex-boyfriend is trying to help but is making things worse because every time I see or hear him, I break down into tears. I found out that I will never be promoted now because of my depression.","It sounds like you have been struggling with this for quite some time, using many of the same coping techniques that feel tried and true to no avail. Often, we fall back on coping techniques that would be helpful in other problems (stress, social anxieties, etc.) for our depression, but the truth is that depression requires it's own little tool kit. Depression is all-encompassing, and, based on what you've written, the symptoms are already affecting work and your personal life in myriad ways.  The best route forward would be to seek out counselling, admittedly, but if your insurance deductible is too high, that can be very expensive. I would recommend contacting your Employee Assistance Program (EAP) if offered by your employer. If not, you can look into community centres for counselling options, check if your doctor will give you a referral or your local religious organization. If, however, you are motivated to get your depression under control, there are some great workbooks out there that you can use on your own or with your therapist (as long as your therapist is trained in Cognitive Behavioural Therapy, or CBT), such as ""Mind Over Mood""."
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.","Hello, and thank you for your question. This is a very serious time. I don't mean to frighten you, but you are right to be concerned. The time right after people leave the hospital after receiving psychiatric services is a time of high risk for suicide. It is very important, after hospitalization, to get follow-up care with a professional as soon as possible. If your husband has an established therapist, this is the time to call. It is also a good time to alert your support system of friends, family, clergy or others to let them know he is still struggling. This is good support for him AND you.It is important to think about means and opportunity to make another attempt. Means really do matter.  So, if you have a firearm in the home, it is really important to remove it. You can't remove all things that a person may hurt themselves with, but some things are more lethal than others. Firearms are very lethal. I am not sure what means he used last time, but try to reduce the opportunity for him to access it again. This is where your support system can help out. People can take turns hanging out with him until you are sure the crisis is over.If you believe that an attempt is going to occur, talk to your husband about going back to the hospital. If he refuses, you will want to find out what your options are to have him go even if he doesn't want to. I know the thought of that really hurts, but it can save his life. Calling 9-1-1 is always a good option if you are not sure. Usually a suicide crisis, meaning they want to harm themselves right now, lasts a few minutes, hours or days. Sometimes when you get them through the crisis stage, they no longer want to commit suicide. But, as you are indicating, that feeling of wanting to commit suicide can come back again. So, it is always good to have a plan. If you want more information, call the National Suicide Prevention Lifeline. They will always answer: 1-800-273-8255. They can help you create a specific safety plan. I do hope things work out alright. Be well. Robin J. Landwehr, DBH, LPCC, NCC"
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.","This is actually more common then we often realize, and actually understandable, as he has gone through a trauma, an unresolved existential crisis.  He was taken care of by others and now is again left alone with his own internal, and rather horrific inner struggle.In my work with CCT, or Contextual Conceptual Therapy, (see www.suicidetherapy.com) I have learned how trapped suicidal people are in their own isolation, also called a ""mysterious isolation,"" a form of self protection which cuts the off from their Self, or spirit.  And unless they address this message from their soul, accompany a guide on a journey to discover their own missing information, that is to recognize how their own uncomforted emotional pain has resulted in a coping stategy which has effectively cut themselves off from their own beauty, their Self, and their ability to receive love from themselves and others. Their attempt to kill themselves is a cry from their soul or spirit that they cannot live the life they are living any longer.  They take this literally and try to end their life, when in fact what their soul or spirit is saying is they need to begin to live the life they came here to live."
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.","I'm thankful to read your husband found care and that his suicide attempt wasn't successful.   While he was hospitalized, and prior to his release, your husband would've been provided in writing a self-care action plan. This typically includes things like committing to a contract 'not to harm' and what to do if he felt overwhelmed by his anger, depression, and hopelessness (e.g. call 911, call therapist, go to nearest hospital emergency department). Additionally, his protocol would've provided instructions for his taking medication(s) as directed, having a follow-up appointment(s) with his psychiatrist/psychologist/clinical social worker, and participating in some form of small group support.  If your husband's struggling as you describe, and you are feeling overwhelmed or frightened for his (your) safety, I'd encourage you to seek immediate assistance."
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.","This must be so difficult for both of you.  Watching someone you love suffer so profoundly can bring up lots of difficult feelings.  Without knowing what you are already doing, I have a few thoughts to share with you. First and foremost, know that you cannot fix this for him, and get support for yourself.As much as you are able, make space in your relationship for him to talk about what he is experiencing.  He might not want to talk, and that is ok.If he wants to talk, try to listen without judgement and without trying to talk him out of his feelings.  Focus on validating his feelings and just sitting with him in his pain.Let him know how you feel...that you love him, that you care, that you are concerned, that this is scary for you too, that you are here.I hope that this is helpful.  On my website (www.sarahmcintyrelpc.com), I've written a series of blog posts about coping with distress.  The techniques I've written about there may be supportive for you and your husband.  Sending warm wishes your way.  -Sarah"
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.","I appreciate that you are concerned about your husband's emotions and want to support him as best you can right now. I imagine that you must be going through your own difficult time too. You've had a complicated shock and trauma in your life and in your marriage; it's normal for both of your emotions to move from hope to despair to fear, anger, gratitude... there is no wrong way to feel and there is no particular pattern your emotions or his will follow. Try not to assume what he is feeling but ask him instead. ""How are you doing today?"" is something that can be asked over and over again and your love and compassion for him will come through. If he has a hard time talking, you can share your observations. ""I notice you're more withdrawn. This worries me."" Certainly it will help you if you know what he's thinking and feeling because he hid his intentions to hurt himself. It's normal that you want to know. If there is depression and hopelessness, this likely was part of what led to his initial despair. There is help out there. Depression is treatable, and seeking that treatment is important right now at this vulnerable time. This is the kind of complex situation that can be assisted by a therapist who is qualified to help you both understand and manage your emotions. Whether your husband seeks help or not, I hope that you do."
