ShapeName,Profile,Midcurve,Profile_brep,Midcurve_brep
Plus_rotated_36,"[[-14.69, 20.23], [-6.6, 26.1], [-18.36, 42.28], [-14.32, 45.22], [-2.56, 29.04], [5.53, 34.92], [8.47, 30.87], [0.38, 25.0], [12.14, 8.82], [8.09, 5.88], [-3.67, 22.06], [-11.76, 16.18]]","[[10.11, 7.35], [-3.11, 25.55], [-16.34, 43.75], [-13.23, 18.2], [7.0, 32.9]]","{""Points"": [[-14.69, 20.23], [-6.6, 26.1], [-18.36, 42.28], [-14.32, 45.22], [-2.56, 29.04], [5.53, 34.92], [8.47, 30.87], [0.38, 25.0], [12.14, 8.82], [8.09, 5.88], [-3.67, 22.06], [-11.76, 16.18]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[10.11, 7.35], [-3.11, 25.55], [-16.34, 43.75], [-13.23, 18.2], [7.0, 32.9]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_36,"[[-14.69, 20.23], [5.53, 34.92], [8.47, 30.87], [0.38, 25.0], [12.14, 8.82], [8.09, 5.88], [-3.67, 22.06], [-11.76, 16.18]]","[[10.11, 7.35], [-3.11, 25.55], [7.0, 32.9], [-13.23, 18.2]]","{""Points"": [[-14.69, 20.23], [5.53, 34.92], [8.47, 30.87], [0.38, 25.0], [12.14, 8.82], [8.09, 5.88], [-3.67, 22.06], [-11.76, 16.18]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[10.11, 7.35], [-3.11, 25.55], [7.0, 32.9], [-13.23, 18.2]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_37,"[[0.98, 7.0], [4.98, 10.01], [-4.05, 21.99], [-8.04, 18.98]]","[[2.98, 8.51], [-6.05, 20.49]]","{""Points"": [[0.98, 7.0], [4.98, 10.01], [-4.05, 21.99], [-8.04, 18.98]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.98, 8.51], [-6.05, 20.49]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_37,"[[0.98, 7.0], [4.98, 10.01], [-10.07, 29.98], [9.9, 45.02], [6.89, 49.02], [-17.07, 30.96]]","[[2.98, 8.51], [-13.57, 30.47], [8.39, 47.02]]","{""Points"": [[0.98, 7.0], [4.98, 10.01], [-10.07, 29.98], [9.9, 45.02], [6.89, 49.02], [-17.07, 30.96]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.98, 8.51], [-13.57, 30.47], [8.39, 47.02]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_37,"[[-15.05, 19.97], [-7.06, 25.98], [-19.1, 41.96], [-15.1, 44.97], [-3.07, 28.99], [4.92, 35.01], [7.93, 31.02], [-0.06, 25.0], [11.98, 9.03], [7.99, 6.02], [-4.05, 21.99], [-12.04, 15.97]]","[[9.98, 7.52], [-3.56, 25.49], [-17.1, 43.46], [-13.54, 17.97], [6.43, 33.01]]","{""Points"": [[-15.05, 19.97], [-7.06, 25.98], [-19.1, 41.96], [-15.1, 44.97], [-3.07, 28.99], [4.92, 35.01], [7.93, 31.02], [-0.06, 25.0], [11.98, 9.03], [7.99, 6.02], [-4.05, 21.99], [-12.04, 15.97]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.98, 7.52], [-3.56, 25.49], [-17.1, 43.46], [-13.54, 17.97], [6.43, 33.01]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_37,"[[-15.05, 19.97], [4.92, 35.01], [7.93, 31.02], [-0.06, 25.0], [11.98, 9.03], [7.99, 6.02], [-4.05, 21.99], [-12.04, 15.97]]","[[9.98, 7.52], [-3.56, 25.49], [6.43, 33.01], [-13.54, 17.97]]","{""Points"": [[-15.05, 19.97], [4.92, 35.01], [7.93, 31.02], [-0.06, 25.0], [11.98, 9.03], [7.99, 6.02], [-4.05, 21.99], [-12.04, 15.97]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.98, 7.52], [-3.56, 25.49], [6.43, 33.01], [-13.54, 17.97]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_38,"[[0.86, 7.02], [4.8, 10.1], [-4.43, 21.92], [-8.37, 18.84]]","[[2.83, 8.56], [-6.4, 20.38]]","{""Points"": [[0.86, 7.02], [4.8, 10.1], [-4.43, 21.92], [-8.37, 18.84]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.83, 8.56], [-6.4, 20.38]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_38,"[[0.86, 7.02], [4.8, 10.1], [-10.59, 29.8], [9.11, 45.19], [6.03, 49.13], [-17.61, 30.66]]","[[2.83, 8.56], [-14.1, 30.23], [7.57, 47.16]]","{""Points"": [[0.86, 7.02], [4.8, 10.1], [-10.59, 29.8], [9.11, 45.19], [6.03, 49.13], [-17.61, 30.66]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.83, 8.56], [-14.1, 30.23], [7.57, 47.16]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_38,"[[-15.39, 19.7], [-7.51, 25.86], [-19.82, 41.62], [-15.88, 44.7], [-3.57, 28.94], [4.31, 35.09], [7.39, 31.15], [-0.49, 25.0], [11.82, 9.23], [7.88, 6.16], [-4.43, 21.92], [-12.31, 15.76]]","[[9.85, 7.7], [-4.0, 25.43], [-17.85, 43.16], [-13.85, 17.73], [5.85, 33.12]]","{""Points"": [[-15.39, 19.7], [-7.51, 25.86], [-19.82, 41.62], [-15.88, 44.7], [-3.57, 28.94], [4.31, 35.09], [7.39, 31.15], [-0.49, 25.0], [11.82, 9.23], [7.88, 6.16], [-4.43, 21.92], [-12.31, 15.76]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.85, 7.7], [-4.0, 25.43], [-17.85, 43.16], [-13.85, 17.73], [5.85, 33.12]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_38,"[[-15.39, 19.7], [4.31, 35.09], [7.39, 31.15], [-0.49, 25.0], [11.82, 9.23], [7.88, 6.16], [-4.43, 21.92], [-12.31, 15.76]]","[[9.85, 7.7], [-4.0, 25.43], [5.85, 33.12], [-13.85, 17.73]]","{""Points"": [[-15.39, 19.7], [4.31, 35.09], [7.39, 31.15], [-0.49, 25.0], [11.82, 9.23], [7.88, 6.16], [-4.43, 21.92], [-12.31, 15.76]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.85, 7.7], [-4.0, 25.43], [5.85, 33.12], [-13.85, 17.73]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_39,"[[0.74, 7.03], [4.62, 10.18], [-4.81, 21.84], [-8.7, 18.69]]","[[2.68, 8.61], [-6.76, 20.26]]","{""Points"": [[0.74, 7.03], [4.62, 10.18], [-4.81, 21.84], [-8.7, 18.69]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.68, 8.61], [-6.76, 20.26]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_39,"[[0.74, 7.03], [4.62, 10.18], [-11.11, 29.61], [8.32, 45.34], [5.17, 49.23], [-18.14, 30.35]]","[[2.68, 8.61], [-14.62, 29.98], [6.75, 47.28]]","{""Points"": [[0.74, 7.03], [4.62, 10.18], [-11.11, 29.61], [8.32, 45.34], [5.17, 49.23], [-18.14, 30.35]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.68, 8.61], [-14.62, 29.98], [6.75, 47.28]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_39,"[[-15.73, 19.43], [-7.96, 25.72], [-20.55, 41.26], [-16.66, 44.41], [-4.08, 28.87], [3.7, 35.16], [6.84, 31.28], [-0.93, 24.98], [11.66, 9.44], [7.77, 6.29], [-4.81, 21.84], [-12.59, 15.54]]","[[9.71, 7.87], [-4.45, 25.35], [-18.61, 42.84], [-14.16, 17.49], [5.27, 33.22]]","{""Points"": [[-15.73, 19.43], [-7.96, 25.72], [-20.55, 41.26], [-16.66, 44.41], [-4.08, 28.87], [3.7, 35.16], [6.84, 31.28], [-0.93, 24.98], [11.66, 9.44], [7.77, 6.29], [-4.81, 21.84], [-12.59, 15.54]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.71, 7.87], [-4.45, 25.35], [-18.61, 42.84], [-14.16, 17.49], [5.27, 33.22]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_39,"[[-15.73, 19.43], [3.7, 35.16], [6.84, 31.28], [-0.93, 24.98], [11.66, 9.44], [7.77, 6.29], [-4.81, 21.84], [-12.59, 15.54]]","[[9.71, 7.87], [-4.45, 25.35], [5.27, 33.22], [-14.16, 17.49]]","{""Points"": [[-15.73, 19.43], [3.7, 35.16], [6.84, 31.28], [-0.93, 24.98], [11.66, 9.44], [7.77, 6.29], [-4.81, 21.84], [-12.59, 15.54]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.71, 7.87], [-4.45, 25.35], [5.27, 33.22], [-14.16, 17.49]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_40,"[[0.62, 7.04], [4.45, 10.26], [-5.2, 21.75], [-9.03, 18.53]]","[[2.53, 8.65], [-7.11, 20.14]]","{""Points"": [[0.62, 7.04], [4.45, 10.26], [-5.2, 21.75], [-9.03, 18.53]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.53, 8.65], [-7.11, 20.14]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_40,"[[0.62, 7.04], [4.45, 10.26], [-11.62, 29.41], [7.53, 45.48], [4.31, 49.31], [-18.67, 30.03]]","[[2.53, 8.65], [-15.15, 29.72], [5.92, 47.39]]","{""Points"": [[0.62, 7.04], [4.45, 10.26], [-11.62, 29.41], [7.53, 45.48], [4.31, 49.31], [-18.67, 30.03]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.53, 8.65], [-15.15, 29.72], [5.92, 47.39]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_40,"[[-16.07, 19.15], [-8.41, 25.58], [-21.26, 40.9], [-17.43, 44.11], [-4.58, 28.79], [3.08, 35.22], [6.3, 31.39], [-1.37, 24.96], [11.49, 9.64], [7.66, 6.43], [-5.2, 21.75], [-12.86, 15.32]]","[[9.58, 8.03], [-4.89, 25.27], [-19.35, 42.51], [-14.46, 17.24], [4.69, 33.31]]","{""Points"": [[-16.07, 19.15], [-8.41, 25.58], [-21.26, 40.9], [-17.43, 44.11], [-4.58, 28.79], [3.08, 35.22], [6.3, 31.39], [-1.37, 24.96], [11.49, 9.64], [7.66, 6.43], [-5.2, 21.75], [-12.86, 15.32]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.58, 8.03], [-4.89, 25.27], [-19.35, 42.51], [-14.46, 17.24], [4.69, 33.31]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_40,"[[-16.07, 19.15], [3.08, 35.22], [6.3, 31.39], [-1.37, 24.96], [11.49, 9.64], [7.66, 6.43], [-5.2, 21.75], [-12.86, 15.32]]","[[9.58, 8.03], [-4.89, 25.27], [4.69, 33.31], [-14.46, 17.24]]","{""Points"": [[-16.07, 19.15], [3.08, 35.22], [6.3, 31.39], [-1.37, 24.96], [11.49, 9.64], [7.66, 6.43], [-5.2, 21.75], [-12.86, 15.32]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.58, 8.03], [-4.89, 25.27], [4.69, 33.31], [-14.46, 17.24]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_41,"[[0.49, 7.05], [4.27, 10.33], [-5.57, 21.65], [-9.35, 18.37]]","[[2.38, 8.69], [-7.46, 20.01]]","{""Points"": [[0.49, 7.05], [4.27, 10.33], [-5.57, 21.65], [-9.35, 18.37]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.38, 8.69], [-7.46, 20.01]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_41,"[[0.49, 7.05], [4.27, 10.33], [-12.13, 29.2], [6.73, 45.6], [3.45, 49.38], [-19.19, 29.7]]","[[2.38, 8.69], [-15.66, 29.45], [5.09, 47.49]]","{""Points"": [[0.49, 7.05], [4.27, 10.33], [-12.13, 29.2], [6.73, 45.6], [3.45, 49.38], [-19.19, 29.7]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.38, 8.69], [-15.66, 29.45], [5.09, 47.49]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_41,"[[-16.4, 18.87], [-8.85, 25.43], [-21.98, 40.52], [-18.2, 43.8], [-5.08, 28.71], [2.47, 35.27], [5.75, 31.5], [-1.8, 24.94], [11.32, 9.84], [7.55, 6.56], [-5.57, 21.65], [-13.12, 15.09]]","[[9.43, 8.2], [-5.33, 25.18], [-20.09, 42.16], [-14.76, 16.98], [4.11, 33.38]]","{""Points"": [[-16.4, 18.87], [-8.85, 25.43], [-21.98, 40.52], [-18.2, 43.8], [-5.08, 28.71], [2.47, 35.27], [5.75, 31.5], [-1.8, 24.94], [11.32, 9.84], [7.55, 6.56], [-5.57, 21.65], [-13.12, 15.09]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.43, 8.2], [-5.33, 25.18], [-20.09, 42.16], [-14.76, 16.98], [4.11, 33.38]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_41,"[[-16.4, 18.87], [2.47, 35.27], [5.75, 31.5], [-1.8, 24.94], [11.32, 9.84], [7.55, 6.56], [-5.57, 21.65], [-13.12, 15.09]]","[[9.43, 8.2], [-5.33, 25.18], [4.11, 33.38], [-14.76, 16.98]]","{""Points"": [[-16.4, 18.87], [2.47, 35.27], [5.75, 31.5], [-1.8, 24.94], [11.32, 9.84], [7.55, 6.56], [-5.57, 21.65], [-13.12, 15.09]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.43, 8.2], [-5.33, 25.18], [4.11, 33.38], [-14.76, 16.98]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_42,"[[0.37, 7.06], [4.09, 10.41], [-5.95, 21.55], [-9.67, 18.21]]","[[2.23, 8.73], [-7.81, 19.88]]","{""Points"": [[0.37, 7.06], [4.09, 10.41], [-5.95, 21.55], [-9.67, 18.21]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.23, 8.73], [-7.81, 19.88]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_42,"[[0.37, 7.06], [4.09, 10.41], [-12.64, 28.99], [5.94, 45.71], [2.59, 49.43], [-19.7, 29.36]]","[[2.23, 8.73], [-16.17, 29.17], [4.26, 47.57]]","{""Points"": [[0.37, 7.06], [4.09, 10.41], [-12.64, 28.99], [5.94, 45.71], [2.59, 49.43], [-19.7, 29.36]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.23, 8.73], [-16.17, 29.17], [4.26, 47.57]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_42,"[[-16.73, 18.58], [-9.3, 25.27], [-22.68, 40.13], [-18.96, 43.48], [-5.58, 28.62], [1.85, 35.31], [5.2, 31.59], [-2.24, 24.9], [11.15, 10.04], [7.43, 6.69], [-5.95, 21.55], [-13.38, 14.86]]","[[9.29, 8.36], [-5.77, 25.08], [-20.82, 41.81], [-15.06, 16.72], [3.52, 33.45]]","{""Points"": [[-16.73, 18.58], [-9.3, 25.27], [-22.68, 40.13], [-18.96, 43.48], [-5.58, 28.62], [1.85, 35.31], [5.2, 31.59], [-2.24, 24.9], [11.15, 10.04], [7.43, 6.69], [-5.95, 21.55], [-13.38, 14.86]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.29, 8.36], [-5.77, 25.08], [-20.82, 41.81], [-15.06, 16.72], [3.52, 33.45]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_42,"[[-16.73, 18.58], [1.85, 35.31], [5.2, 31.59], [-2.24, 24.9], [11.15, 10.04], [7.43, 6.69], [-5.95, 21.55], [-13.38, 14.86]]","[[9.29, 8.36], [-5.77, 25.08], [3.52, 33.45], [-15.06, 16.72]]","{""Points"": [[-16.73, 18.58], [1.85, 35.31], [5.2, 31.59], [-2.24, 24.9], [11.15, 10.04], [7.43, 6.69], [-5.95, 21.55], [-13.38, 14.86]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.29, 8.36], [-5.77, 25.08], [3.52, 33.45], [-15.06, 16.72]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_43,"[[0.25, 7.07], [3.9, 10.48], [-6.33, 21.45], [-9.98, 18.04]]","[[2.08, 8.77], [-8.15, 19.74]]","{""Points"": [[0.25, 7.07], [3.9, 10.48], [-6.33, 21.45], [-9.98, 18.04]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[2.08, 8.77], [-8.15, 19.74]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_43,"[[0.25, 7.07], [3.9, 10.48], [-13.15, 28.76], [5.14, 45.81], [1.73, 49.47], [-20.21, 29.01]]","[[2.08, 8.77], [-16.68, 28.88], [3.43, 47.64]]","{""Points"": [[0.25, 7.07], [3.9, 10.48], [-13.15, 28.76], [5.14, 45.81], [1.73, 49.47], [-20.21, 29.01]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[2.08, 8.77], [-16.68, 28.88], [3.43, 47.64]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_43,"[[-17.05, 18.28], [-9.74, 25.1], [-23.38, 39.73], [-19.72, 43.14], [-6.08, 28.51], [1.23, 35.33], [4.64, 31.68], [-2.67, 24.86], [10.97, 10.23], [7.31, 6.82], [-6.33, 21.45], [-13.64, 14.63]]","[[9.14, 8.52], [-6.2, 24.98], [-21.55, 41.44], [-15.34, 16.46], [2.94, 33.51]]","{""Points"": [[-17.05, 18.28], [-9.74, 25.1], [-23.38, 39.73], [-19.72, 43.14], [-6.08, 28.51], [1.23, 35.33], [4.64, 31.68], [-2.67, 24.86], [10.97, 10.23], [7.31, 6.82], [-6.33, 21.45], [-13.64, 14.63]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[9.14, 8.52], [-6.2, 24.98], [-21.55, 41.44], [-15.34, 16.46], [2.94, 33.51]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_43,"[[-17.05, 18.28], [1.23, 35.33], [4.64, 31.68], [-2.67, 24.86], [10.97, 10.23], [7.31, 6.82], [-6.33, 21.45], [-13.64, 14.63]]","[[9.14, 8.52], [-6.2, 24.98], [2.94, 33.51], [-15.34, 16.46]]","{""Points"": [[-17.05, 18.28], [1.23, 35.33], [4.64, 31.68], [-2.67, 24.86], [10.97, 10.23], [7.31, 6.82], [-6.33, 21.45], [-13.64, 14.63]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[9.14, 8.52], [-6.2, 24.98], [2.94, 33.51], [-15.34, 16.46]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_44,"[[0.12, 7.07], [3.72, 10.54], [-6.7, 21.33], [-10.3, 17.86]]","[[1.92, 8.81], [-8.5, 19.6]]","{""Points"": [[0.12, 7.07], [3.72, 10.54], [-6.7, 21.33], [-10.3, 17.86]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[1.92, 8.81], [-8.5, 19.6]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_44,"[[0.12, 7.07], [3.72, 10.54], [-13.65, 28.53], [4.34, 45.89], [0.86, 49.49], [-20.72, 28.65]]","[[1.92, 8.81], [-17.18, 28.59], [2.6, 47.69]]","{""Points"": [[0.12, 7.07], [3.72, 10.54], [-13.65, 28.53], [4.34, 45.89], [0.86, 49.49], [-20.72, 28.65]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[1.92, 8.81], [-17.18, 28.59], [2.6, 47.69]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_44,"[[-17.37, 17.98], [-10.17, 24.93], [-24.07, 39.32], [-20.47, 42.79], [-6.58, 28.4], [0.62, 35.35], [4.09, 31.75], [-3.1, 24.81], [10.79, 10.42], [7.19, 6.95], [-6.7, 21.33], [-13.89, 14.39]]","[[8.99, 8.68], [-6.64, 24.87], [-22.27, 41.05], [-15.63, 16.19], [2.35, 33.55]]","{""Points"": [[-17.37, 17.98], [-10.17, 24.93], [-24.07, 39.32], [-20.47, 42.79], [-6.58, 28.4], [0.62, 35.35], [4.09, 31.75], [-3.1, 24.81], [10.79, 10.42], [7.19, 6.95], [-6.7, 21.33], [-13.89, 14.39]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[8.99, 8.68], [-6.64, 24.87], [-22.27, 41.05], [-15.63, 16.19], [2.35, 33.55]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_44,"[[-17.37, 17.98], [0.62, 35.35], [4.09, 31.75], [-3.1, 24.81], [10.79, 10.42], [7.19, 6.95], [-6.7, 21.33], [-13.89, 14.39]]","[[8.99, 8.68], [-6.64, 24.87], [2.35, 33.55], [-15.63, 16.19]]","{""Points"": [[-17.37, 17.98], [0.62, 35.35], [4.09, 31.75], [-3.1, 24.81], [10.79, 10.42], [7.19, 6.95], [-6.7, 21.33], [-13.89, 14.39]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[8.99, 8.68], [-6.64, 24.87], [2.35, 33.55], [-15.63, 16.19]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_45,"[[0.0, 7.07], [3.54, 10.61], [-7.07, 21.21], [-10.61, 17.68]]","[[1.77, 8.84], [-8.84, 19.45]]","{""Points"": [[0.0, 7.07], [3.54, 10.61], [-7.07, 21.21], [-10.61, 17.68]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[1.77, 8.84], [-8.84, 19.45]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
