entertainment,"होळी आणि रंगपंचमी विशेष आठवड्यात प्रेक्षकांना ‘रंग महाराष्ट्राचा’ या संकल्पनेवर विनोदवीरांची तसेच महाराष्ट्राच्या वेगवेगळ्या भागांमधून आलेल्या कलाकारांचा कलाविष्कार बघायला मिळणार आहे . इतकेच नव्हे तर महाराष्ट्राच्या वेगवेगळ्या भागांमध्ये होळी आणि रंगपंचमी कशी साजरी केली जाते हे देखील बघायला मिळणार आहे . हा विशेष कार्यक्रम १ आणि २ मार्च रोजी दुपारी १ . ३० वाजता कलर्स मराठी या वाहिनीवर रंगणार आहे . ‘तुमच्यासाठी काय पन’च्या विशेष भागात महाराष्ट्राच्या वेगवेगळ्या भागात होळी कशी धुमधडाक्यात साजरी होते , हे पाहायला मिळणार आहे . अकोल्यातील बंजारा समाजाची होळी असो किंवा कुडाळ येथील चित्रकथी असे महाराष्ट्रातील विविध रंग या भागात पाहायला मिळणार आहेत . कुडाळ येथील शिवदास म्हस्के आणि त्यांचे सुपुत्र हे चित्रकथी सादर करतील तर चिपळूणहून आलेल्या ग्रुपने नमन तर मालवण येथील ओमप्रकाश हे यक्षिणी सादर करतील . चाळीतल्या रंगपंचमीची धम्माल मस्ती आणि विशेष म्हणजे भारुड , गवळण यांसारखे लोककलादेखील सादर करण्यात येणार आहे . त्याचप्रमाणे ‘आज काय स्पेशल’ कार्यक्रमात पुरणाची पोळी , वाटाणा पोहा करंजी , नारळाची पोळी हे पदार्थ बनवण्याच्या पद्धती दाखवणार आहेत ."
entertainment,"अभिषेक कपूर दिग्दर्शित ‘केदारनाथ’ हा चित्रपट प्रदर्शित होण्यापूर्वीच विविध कारणांनी चर्चेचा विषय ठरतो आहे . अभिनेता सैफ अली खानची लाडकी लेक सारा अली खान या चित्रपटाचून बॉलिवूडमध्ये पदार्पण करते आहे हे त्यामागचं मुख्य कारण आहेच . त्याशिवाय सारा आणि सुशांत सिंग राजपूत या नव्या जोडीची केमिस्ट्री प्रेक्षकांना पाहता येणार असल्यामुळेही बरीच उत्सुकता आहे . पण या सर्व वातावरणात आणखी एका गोष्टीने सर्वांचच लक्ष वेधलं आहे . ती गोष्ट म्हणजे सारा सेटवर दाखवत असलेले नखरे . जवळपास आठवडाभरापासून ‘केदारनाथ’च्या सेटवरुन साराच्या नखरेल वागण्याच्या चर्चा जोर धरु लागल्या होत्या . लूकपासून ते मेकअपपर्यंत प्रत्येक गोष्टीत तिची आडकाठी असल्याचंही म्हटलं जात होतं . चित्रपटाविषयी अशा प्रकारच्या चर्चा रंगत असल्याचं पाहून निर्माता अर्जुन एन . कपूरने पुढाकार घेत काही गोष्टी स्पष्ट केल्या आहेत . ‘डीएनए’ला दिलेल्या मुलाखतीत तो म्हणाला , ‘सारा ही एखाद्या दिग्दर्शकाच्या दृष्टिकोनातून विचार करणारी अभिनेत्री आहे . अभिषेकने ज्या दृष्टिकोनातून तिची भूमिका आखली आहे अगदी त्याच नजरेतून साराही त्याकडे पाहते . म्हणून तिने इतक्या ऑफर्स येत असतानाही पदार्पणासाठी या सर्वोत्तम चित्रपटाचीच निवड केली . ’ वाचा : अभिनयाव्यतिरिक्त बॉलिवूडकरांचे ‘हे’ आहेत ‘इन्कम सोर्स’ साराविषयी काही गोष्टी स्पष्ट करत अर्जुनने ती कोणत्याही प्रकारचे नखरे दाखवत नसल्याचं स्पष्ट केलं . ‘या सर्व गोष्टी खोट्या असून , एखाद्या होतकरु अभिनेत्रीविषयी अशा चर्चा रंगणं अयोग्य आहे . कारण , सारा समर्पणाने या चित्रपटात तिचं योगदान देते आहे’ , असंही सांगितलं . सारा जेव्हा चित्रपटाच्या तालमीसाठी पहिल्यांदाच आली होती तेव्हा ती चांगलीच रुळली होती . मुख्य म्हणजे तिने चित्रपटाची संकल्पना नीट समजून घेतली असून , त्या अनुषंगानेच काम करण्यासही सुरुवात केली आहे . तेव्हा , निर्मात्यांनी इतकं तोंड भरुन कौतुक केल्यानंतर आतातरी याविषयीच्या चर्चा थांबतील अशीच अपेक्षा आहे ."
sports,"युक्वीला धक्का ; आज चेनशी लढत सिडनी - भारताच्या किदांबी श्रीकांतने ऑस्ट्रेलियन ओपन सुपर सिरीज बॅडमिंटन स्पर्धेतील घोडदौड कायम राखत अंतिम फेरीत मुसंडी मारली . इंडोनेशियन विजेत्या श्रीकांतने चौथ्या मानांकित शी युक्वी याच्यावर दोन गेममध्येच मात केली . श्रीकांतने सलग तिसऱ्यांदा सुपर सिरीज स्पर्धेत अंतिम फेरी गाठली . सिंगापूर ओपनमध्ये त्याचा देशबांधव बी . साईप्रणित याच्याकडून पराभव झाला होता , तर इंडोनेशियातील यशानंतर त्याला सलग दुसऱ्या सुपर सिरीज विजेतेपदाची संधी आहे . रविवारी होणाऱ्या निर्णायक लढतीत त्याच्यासमोर ऑलिंपिक विजेत्या चेन लाँग याचे आव्हान असेल . चेनने कोरियाच्या ली ह्यून इल याचा २६ - २४ , १५ - २१ , २१ - १७ असा पराभव केला . श्रीकांतने नेटजवळ भक्कम खेळाचे प्रदर्शन केले . त्याचवेळी त्याने प्रतिस्पर्ध्याला चकविण्यातही यश मिळविले . दुसऱ्या गेममध्ये तो १८ - ११ असा आघाडीवर होता . त्यावेळी ‘ओव्हरहेड स्मॅश’ मारण्याच्या प्रयत्नात तो घसरला आणि पडला . त्यावेळी भारतीय चाहत्यांमध्ये थोडे चिंतेचे वातावरण निर्माण झाले होते , पण श्रीकांतने याचा प्रतिकूल परिणाम होऊ दिला नाही . त्याने आणखी एक ‘क्रॉस कोर्ट जम्प स्मॅश’ मारत विजयावर शिक्कामोर्तब केले . श्रीकांतने पहिल्या गुणापासून आक्रमक खेळ केला . फसवे ‘ड्राइव्ह’ आणि ‘जंप स्मॅश’ मारत त्याने युक्वीची लय विस्कळित केली . नेटजवळ तर त्याने ‘ड्राइव्ह’मध्ये वैविध्य राखले . एरवी दुहेरीचे खेळाडू मारतात तसे ड्राइव्ह मारण्याचा धडाका त्याने सुरू केला . याशिवाय संधी मिळताच त्याने रेषेलगतही फटके मारले . पहिल्या गेमच्या मध्यास श्रीकांतने रॅकेटची बाजू ऐनवेळी बदलत ‘बॅक - हॅंड टॅप’ मारला . त्यावेळी युक्वी चकित झाला होता . निकाल - किदांबी श्रीकांत विवि शी युक्वी २१ - १० , २१ - १४ ‘स्वप्नवत कामगिरी’ श्रीकांतने सांगितले की , ‘मी दोन वर्षांच्या खंडानंतर सिंगापूरमध्ये सुपर सिरीज अंतिम फेरी गाठली . त्यानंतर पुढील दोन स्पर्धांत अशी कामगिरी करणे स्वप्नवत आहे . मी संपूर्ण सामन्यात नियंत्रण राखले . मी युक्वीला सुरवातीला सहजी गुण मिळू दिले नाहीत . युक्वी तग धरून राहतो आणि शटल परतवित राहतो . मध्येच तो वेगळा फटका मारतो . मी नेटजवळ नियंत्रण राखणे महत्त्वाचे ठरले . अंतिम सामन्याचा विचार मी अद्याप केलेला नाही . ’"
entertainment,"एनएफडीसी निर्मित “२० म्हंजे २०” ह्या मराठी चित्रपटाचा नुकताच ट्रेलर प्रकाशित करण्यात आला . दिग्दर्शक उदय भंडारकर यांचे दिग्दर्शन असलेला “२० म्हंजे २०” हा मराठी चित्रपट प्राथमिक व माध्यमिक शिक्षण प्रणालीवर भाष्य करतो . एन एफ डी सी नेहमीच नवीन कलागुणांना वाव देऊन , त्यांना एक चांगले व्यासपीठ उपलब्ध करून देते . त्याचाच एक भाग म्हणून “२० म्हंजे २०” एका आशयघन सिनेमाची निर्मिती केली . “२० म्हंजे २०” हा मराठी चित्रपट महाराष्ट्रातील तसेच भारतातील कमी होणाऱ्या शासकीय शाळा का कमी होत आहेत , तसेच किमान प्राथमिक शिक्षण मिळणे प्रत्येक विध्यर्थाचा मुलभूत अधिकार कसा आहे , या विषयीचे महत्व पटवून देतो . मृण्मयी गोडबोले व तिच्या सोबतचे सर्व बालकलाकार ज्यात प्रामुख्याने पार्थ भालेराव ( भूतनाथ फेम ) , मृणाल जाधव ( दृश्यम फेम ) , मोहित गोखले , अश्मित पठारे , साहिल कोकटे आदी असून त्यांच्या सोबत अरुण नलावडे , राजन भिसे यांची ह्यांच्या प्रमुख भूमिका आहेत . किल्ला फेम अविनाश अरुण यांचे छाया दिग्दर्शन असून दिपक जोशी व रविंद्र भागवते यांची कथा आहे . “२० म्हंजे २०” हा मराठी चित्रपट येत्या १० जूनला सर्वत्र महाराष्ट्रात प्रदर्शित होत असून सर्व विद्यार्थी व पालक चित्रपटाला भरभरून प्रतिसाद देतील असा मानस चित्रपटाचे दिग्दर्शक उदय भंडारकर व एनएफडीसीने व्यक्त केला ."
sports,"भारताच्या साईना नेहवाल हिने मकाव ओपन स्पर्धेच्या दुसऱ्या फेरीत प्रवेश केला . पुनरागमनानंतर साईनाची ही तिसरी स्पर्धा असून , पहिल्याच फेरीतील विजयासाठी तिला इंडोनेशियाच्या हना रमादिनीचा कडा प्रतिकार सहन करावा लागला . साईनाने एक तासाच्या लढतीत २१ - २३ , २१ - १४ , २१ - १८ असा विजय मिळविला . पुरुष एकेरीत बी . साईप्रणित याने चीनच्या सुन फेक्झिआंग याचा ४० मिनिटांत २१ - १२ , २१ - १५ असा पराभव केला . पी . कश्यपनेदेखील दुसरी फेरी गाठताना तैवानच्या चून वेई चेन याचा २१ - १९ , २१ - ८ असा पराभव केला . पुरुष एकेरीत समीर वर्माला मात्र पराभवाचा सामना करावा लागला . गेल्याच आठवड्यात त्याने हाँगकाँग स्पर्धेची अंतिम फेरी गाठली होती . मात्र , येथे त्याला पहिल्याच फेरीत इंडोनेशियाच्या महमंद बायू पांगीत्सु याच्याकडून १८ - २१ , १३ - २१ असा पराभव पत्करावा लागला . पुरुष दुहेरीत मनु अत्री - बी सुमीथ रेड्डी याने विजयी सुरवात करताना हाँगकाँगच्या चॅन अलन यून लुंग - ली कुएन हॉन जोडीचे आव्हान २१ - ११ , १७ - २१ , २१ - ९ असे संपुष्टात आणले . साईनाला आज पहिल्या गेममध्ये बरोबरीची कोंडी फोडण्यात अपयश आले . निर्णायक क्षणी तिने मॅचपॉइंटची संधी आणि नंतर गेमही गमावली . नंतरच्या दोन गेममध्ये साईनाने तिला संधीही दिली नाही . दोन्ही गेम सुरवातीला बरोबरीतच होते . पहिल्या गेममध्ये झालेल्या चुका टाळत साईनाने आपल्या जोरकस फटक्यांनी हनाला निष्प्रभ केले ."
lifestyle,"जे वयोवृद्ध लोक प्रतिदिन पाच तासांपेक्षा अधिक वेळ दूरदर्शन संचासमोर बसतात किंवा आठवडय़ातून तीन किंवा अधिक तास शारीरिक हालचाली कमी करतात त्यांना भविष्यात चालता न येण्याचा धोका निर्माण होऊ शकतो , अशी चेतावणी नव्याने करण्यात आलेल्या अभ्यासात देण्यात आली आहे . वृद्ध व्यक्तींनी सतत टीव्ही पाहणे जोखमीचे ठरू शकते . यामुळे त्यांना अपंगत्वाचा सामना करावा लागू शकतो , असे अमेरिकेतील जॉर्ज वॉशिंग्टन विद्यापीठाच्या लोरेट्टा डायपेट्रो यांनी म्हटले आहे . खूप वेळ बैठक मारून टीव्ही पाहणे ( विशेषतः संध्याकाळी ) वृद्ध व्यक्तींसाठी सर्वात धोकादायक गोष्टीपेकी एक असले पाहिजे . यामुळे वृद्धांच्या शरीराचे मोठे नुकसान होते , तसेच शरीर निष्क्रिय होते , असे त्यांनी म्हटले आहे . संशोधकांनी या अभ्यासासाठी सहा राज्ये आणि दोन प्रमुख शहरांमधील ५० ते ७१ या दरम्यान वय असणाऱ्या पुरुष आणि महिलांचा अभ्यास केला . अभ्यासाच्या सुरुवातीला सर्व सहभागी निरोगी होते . वृद्ध लोक किती वेळ टीव्ही पहातात , व्यायाम , बागकाम , घरकाम तसेच इतर शारीरिक काम करतात यावर संशोधकांनी लक्ष ठेवले . या प्रकारे सहभागींवर १० वर्षे लक्ष ठेवण्यात आले . अभ्यासाच्या अखेरीस सर्व निरोगी असणाऱ्या सहभागींमधील ३० टक्के वृद्धांना अपंगत्वाचा सामना करावा लागत होता . यामध्ये अनेक जणांना चालण्याची समस्या निर्माण झाली होती . जे प्रतिदिन पाच किंवा अधिक तास टीव्ही पाहतात त्यांना चालण्याबाबतचे अपंगत्व येण्याचा धोका ६५ टक्क्यांनी वाढत असल्याचे संशोधकांना दिसून आले . तसेच अधिक वेळ टीव्हीसमोर बसल्यामुळे शारीरिक क्रियांचा वेग मंदावत असल्याचे आढळले . सध्याच्या आधुनिक जीवनशैलीत आपण प्रवास , लिफ्ट यादरम्यान इंटरनेट , मोबाइल फोन सतत वापरतो . प्रत्येक दिवसाला यामुळे बसण्याचे प्रमाण १४ तास झाले आहे . जर वृद्ध व्यक्तींना धडधाकट व्हायचे असेल तर त्यांनी प्रत्येक दिवशी योग्य प्रमाणात शारीरिक व्यायाम करणे तसेच एकाच ठिकाणी बसण्याचा वेळ कमी करणे आवश्यक असल्याचे , संशोधकांनी म्हटले आहे ."
lifestyle,"कामानिमित्त अति प्रवास करणाऱ्या लोकांना चिंता आणि नैराश्याचा धोका अधिक असण्याची शक्यता असून , हे लोक व्यसनाच्या आहारी जाण्याची शक्यताही अधिक असल्याचा दावा एका अभ्यासात केला आहे . वारंवार कामानिमित्त प्रवास करणारे मद्यपानदेखील करीत असल्याचे संशोधकांना आढळून आले . जितका जास्त वेळ लोक कामानिमित्त घराबाहेर प्रवासासाठी जातात तेवढी त्यांची वर्तणूक आणि मानसिक आरोग्य ढासळत असल्याचे संशोधकांनी म्हटले . कामानिमित्त प्रवासामुळे गैरसंसर्गजन्य रोगांचा आरोग्यावर काय परिणाम होतो याबाबात प्रथमच हा अभ्यास करण्यात आला आहे . कामानिमित्त प्रवास करणे हे नक्कीच आपल्या व्यावसायिक स्थैर्य आणि प्रगतीसाठी उत्तम मानले जाते , परंतु अतिप्रवासामुळे जीवनशैलीत होणारे बदलांमुळे विविध विकार जडण्याचा धोका असल्याचे समोर येत आहे , असे कोलंबिया विद्यापीठाचे सहयोगी प्राध्यापक अँड्रय़ू रुंडल यांनी म्हटले . ईएचई इंटरनॅशनलने दिलेल्या आकडय़ांवर हा अभ्यास आधारित आहे . २०१५ मध्ये १८ , ३२८ कर्मचाऱ्यांच्या आरोग्य मूल्यांकनांचा अभ्यास संशोधकांनी केला . ईएचईकडून कर्मचाऱ्यांमधील नैराश्याची लक्षणे पडताळण्यासाठी प्रश्न विचारण्यात आले . त्याचबरोबर चिंता आणि मद्यपानाबाबत प्रश्न विचारण्यात आले . यातील २४ टक्के कर्मचाऱ्यांनी सामान्य चिंता विकाराच्या प्रश्नावलीत चारपेक्षा अधिक गुण मिळविले . तर १५ टक्के कर्मचाऱ्यांना आरोग्य प्रश्नावलीत चारहून अधिक गुण मिळाले . यानुसार या कर्मचाऱ्यांना सौम्य किंवा तीव्र चिंता आणि नैराश्याचा धोका असल्याचे आढळून आले . त्याचप्रमाणे ६ टक्के कर्मचाऱ्यांना मद्यपानाची सवय असल्याचे आढळून आले . हा अभ्यास ऑक्युपेशन अॅण्ड इनव्हायर्न्मेंन्टल मेडिसिन या नियतकालिकात प्रसिद्ध करण्यात आला आहे ."
sports,"आशियाई चषकासाठी बीसीसीआयने आज भारतीय संघाची घोषणा केली आहे . अपेक्षेप्रमाणे कर्णधार विराट कोहलीला या स्पर्धेसाठी विश्रांती देण्यात आलेली असून , रोहित शर्माकडे संघाचं नेतृत्व देण्यात आलेलं आहे . याचसोबत शिखर धवनला संघाचा उप - कर्णधार म्हणून घोषित करण्यात आलेलं आहे . याचसोबत महाराष्ट्राच्या केदार जाधवनेही प्रदीर्घ कालावधीनंतर भारतीय संघात पुनरागमन केलं आहे . तर खलिल अहमद या नवोदीत खेळाडूला भारतीय संघात जागा मिळाली आहे . १५ सप्टेंबरपासून युएईत आशिया चषक स्पर्धा खेळवली जाणार आहे . आशिया चषकासाठी असा असेल भारताचा संघ – रोहित शर्मा ( कर्णधार ) , शिखर धवन ( उप - कर्णधार ) , लोकेश राहुल , अंबाती रायडू , मनिष पांडे , केदार जाधव , महेंद्रसिंह धोनी ( यष्टीरक्षक ) , दिनेश कार्तिक , कुलदीप यादव , हार्दिक पांड्या , युझवेंद्र चहल , अक्षर पटेल , भुवनेश्वर कुमार , जसप्रीत बुमराह , शार्दुल ठाकूर , खलिल अहमद"
lifestyle,"दिवसातून एक सिगारेट ओढण्यामुळेही हृदयविकारचा झटका आणि स्ट्रोक येण्याचा धोका निम्म्याने वाढत आहे . दर दिवशी २० सिगारेट ओढण्याने हृदयविकाराचा झटका येण्याचे प्रमाण जेवढे वाढते तेवढेच एक सिगारेट ओढण्यामुळे वाढत असल्याचा इशारा नव्याने करण्यात आलेल्या संशोधनामध्ये देण्यात आला आहे . ब्रिटिश वैद्यकीय नियतकालिकामध्ये प्रसिद्ध करण्यात आलेल्या संशोधन अहवालामध्ये याबाबतची माहिती देण्यात आली आहे . फक्त एक सिगारेट ओढण्यामुळे आरोग्यावर काही परिणाम होत नाही , असा समज असणाऱ्या डॉक्टर आणि अनेक धूम्रपान करणाऱ्यांना हा इशारा असू शकतो . हृदयविकाराचा झटका आणि स्ट्रोक येण्याची पातळी लक्षणीय स्तरावरून कमी करण्यासाठी पूर्णपणे धूम्रपान थांबवणे आवश्यक असल्याचे संशोधकांनी सांगितले . ब्रिटनमधील युनिव्हर्सिटी कॉलेज , लंडनमधील संशोधकांनी याबाबत अधिक संशोधन केले . यासाठी त्यांनी १४१ संशोधनपर प्रसिद्ध झालेल्या अभ्यासाच्या निष्कर्षांचा आढावा घेत दररोज एक , पाच किंवा २० सिगारेट ओढणाऱ्यांच्या आरोग्यावर काय परिणाम होतो , याचा अभ्यास केला . जे लोक दिवसाला एक सिगारेट ओढतात त्यांना हृदयविकाराचा झटका येण्याचे प्रमाण ४६ टक्क्यांनी वाढते . आणि जे लोक दिवसाला २० किंवा त्यापेक्षा अधिक सिगारेट ओढतात त्यांना हृदयविकारचा झटका येण्याचे प्रमाण ४१ टक्क्यांनी वाढत असल्याचे अभ्यासात दिसून आले . महिलांमध्ये ज्या महिला प्रतिदिन १ सिगारेट ओढतात त्यांना हृदयविकार होण्याचा धोका ३१ टक्क्यांनी वाढतो . आणि ज्या महिला २० पेक्षा अधिक सिगारेट ओढतात त्यांना हृदयविकारचा झटका येण्याचे प्रमाण ३४ टक्क्यांनी वाढत असल्याचे अभ्यासात दिसून आले . सिगारेट ओढण्यामुळे हृदयविकारचा झटका येण्याचे प्रमाण महिलांमध्ये दुप्पट असल्याचे संशोधकांनी सांगितले . अशा प्रकारचे हे पहिलेच संशोधन आहे ."
sports,"भारतीय कर्णधार विराट कोहली प्रत्येक सामन्यानंतर नवनवे विक्रम आपल्या नावे करत असतो . गुरूवारी आजपासून सुरू होणाऱ्या सामन्यात विराट कोहलीला मास्टर ब्लास्टर सचिन तेंडुलकरचा विक्रम मोडण्याची संधी असणार आहे . विराटला हा विक्रम मोडण्यासाठी फक्त सहा धावांची गरज आहे . विराट कोहलीला कसोटीमध्ये सहा हजार धावा करण्यासाठी फक्त सहा धावांची गरज आहे . कोहलीने आतापर्यंत ११८ डावांत ५९९४ धावा केल्या आहेत . तर सचिनने १२० डावांत सहा हजार धावा केल्या होत्या . धावा काढण्याच्या बाबतीत विराट सचिनच्या एक पाऊल पुढे आहे असे म्हटल्यास वावगे ठरू नये . विराट कोहलीने चौथ्या कसोटीत सहा धावा काढताच सचिनचा आणखी एक विक्रम मोडणार आहे . इंग्लंडविरुद्धच्या चौथ्या कसोटी सामन्यात विराट सचिनचा हा विक्रम मोडेल असा विश्वास त्याच्या चाहत्यांना आहे . सध्या सुरू असलेल्या कसोटी मालिकेत विराट कोहलीने सहा डावांत ४४० धावांचा डोंगर उभा केला आहे . या मालिकेत विराट विराट कोहलीच्या नावावर सर्वाधिक धावा आहेत . आतापर्यंत विराट कोहलीने ६९ कसोटी सामन्यातील ११८ डावांत फलंदाजी करताना २३ शतकांसह ५९९४ धावा केल्या आहेत . यादरम्यान विराट कोहलीची सरासरी ५५ आहे . कसोटीमध्ये विराट कोहलीची २४८ धावांची सर्वोत्तम खेळी आहे . दरम्यान , पराभवांची मालिका खंडित करीत ट्रेंट ब्रिजवरील तिसरी कसोटी जिंकणारा भारतीय संघ गुरुवारपासून सुरू होणाऱ्या चौथ्या कसोटीत हे विजयी अभियान कायम राखण्यासाठी उत्सुक आहे . पहिल्या दोन कसोटी सामन्यांत मानहानीकारक पराभव पत्करल्यानंतर विराट कोहलीच्या नेतृत्वाखालील भारतीय संघाने नॉटिंगहॅमच्या तिसऱ्या कसोटीत अष्टपैलू कामगिरीचे प्रदर्शन करीत २०३ धावांनी दणदणीत विजय संपादन केला . मात्र तरीही भारतीय संघ पाच सामन्यांच्या कसोटी मालिकेत १ - २ असा पिछाडीवर आहे ."
entertainment,"‘आयटम’चा आज शुभारंभाचा प्रयोग महाविद्यालयीन शिक्षण घेत असताना आणि नंतर नाटक कंपनी या संस्थेच्या माध्यमातून अभिनयाबरोबरच एकांकिका लेखन करणारा सिद्धेश पूरकर हा मराठी युवक आता हिंदूी नाटककार म्हणून रंगभूमीवर पदार्पण करीत आहे . सिद्धेश याच्या ‘आयटम’ या नाटकाचा शनिवारी ( १८ जून ) भरत नाटय़ मंदिर येथे रात्री साडेनऊ वाजता शुभारंभाचा प्रयोग होत आहे . ‘आयटम’ या शब्दाचा आपल्याला मराठीमध्ये वस्तू किंवा नग हा अर्थ ठाऊक आहे . पण , आयटम हा शब्द कसा गमतीदार झाला आहे आणि वेगवेगळ्या वयोगटामध्ये या शब्दाला कसे वेगवेगळे अर्थ प्राप्त होतात त्याची उकल या नाटकातून होते . मुद्रित , इलेक्ट्रॉनिक असो किंवा युवकांमध्ये लोकप्रिय असलेले समाज माध्यम ( सोशल मीडिया ) अशा सर्वच माध्यमांचे पुरुषीकरण यावर हे नाटक भाष्य करते , असे सिद्धेश पूरकर याने सांगितले . बृहन महाराष्ट्र वाणिज्य महाविद्यालयामध्ये असताना पुरुषोत्तम करंडक स्पर्धेसाठी एकांकिकेचे लेखन आणि अभिनय असा दुहेरी अनुभव त्यासाठी मला उपयोगी पडला . पदवी संपादन केल्यानंतर प्रायोगिक नाटय़चळवळीतील नाटक कंपनी या संस्थेच्या माध्यमातून रंगभूमी चळवळीशी मी जोडला गेलो आहे . ‘कबाडी अनकट’ आणि ‘पेशंट’ या मी लिहिलेल्या दोन दीर्घाकाचे प्रयोग यापूर्वी नाटक कंपनीच्या माध्यमातूनच झाले आहेत . ‘कबाडी अनकट’ नाटकाच्या मुंबई येथे झालेल्या प्रयोगानंतर ज्येष्ठ दिग्दर्शिका विजया मेहता यांनी माझे कौतुक केले होते . तो माझ्यासाठी सर्वात मोठा पुरस्कार होता आणि मी योग्य मार्गावर चाललो आहे याची जणू त्यांनी पावतीच दिली . मात्र , हिंदूी नाटक लेखनाचा हा माझा पहिलाच प्रयत्न असल्याचे सिद्धेशने सांगितले . हा विषय सुचल्यानंतर कल्पना कागदावर उतरवून काढली . पुढे १५ दिवस असेच निघून गेले . त्यानंतर मात्र तीन महिन्यांत पूर्ण नाटक लिहून झाले . मला जे म्हणायचे आहे ते दृश्यभाषा ( व्हिज्युअल ) , चित्रभाषा आणि संवादातून अभिव्यक्त होत असल्याची खात्री पटल्यानंतरच हे नाटक करण्याचे निश्चित केले . आम्ही वेगवेगळ्या महाविद्यालयातील युवक एकत्र येऊन ‘आयटम’ हे नाटक करीत आहोत . दोन महिन्यांची रंगीत तालीम झाल्यानंतर आता साऱ्यांनाच प्रत्यक्ष प्रयोगाची उत्सुकता आहे . क्षितिज दाते याने हे नाटक दिग्दर्शित केले असून २० ते २६ वयोगटातील वीस कलाकारांचा संच हे नाटक सादर करणार आहे , असे सिद्धेश याने सांगितले ."
sports,"कर्णधार विराट कोहली आणि अजिंक्य रहाणे यांच्यातील शतकी भागीदारीच्या जोरावर भारताने पहिल्या वन - डे मालिकेत दक्षिण आफ्रिकेवर ६ गडी राखून विजय मिळवला . आफ्रिकेने दिलेल्या २७० धावांचा पाठलाग करताना भारतीय कर्णधार विराट कोहलीने आक्रमक शतकी खेळी केली . विराटने या सामन्यात आपला फलंदाजीचा फॉर्म कायम ठेवत ११२ धावा काढल्या . अखेरच्या षटकात फटकेबाजी करण्याच्या नादात विराट झेलबाद झाला . त्याला दुसऱ्या बाजूने अजिंक्य रहाणेने संयमी खेळी करुन चांगली साथ दिली . या दोघांमध्येही तिसऱ्या विकेटसाठी १८९ धावांची शतकी भागीदारी झाली . सामना जिंकण्यासाठी अवघ्या काही धावांची आवश्यकता असताना अजिंक्य रहाणेचा अडसर दूर करण्यात आफ्रिकेच्या गोलंदाजांना यश आलं , मात्र तोपर्यंत भारताने सामन्यात आपली बाजू भक्कम केली होती . त्याआधी भारतीय सलामीवीरांनी डावाची सुरुवात अतिशय आक्रमक पद्धतीने केली होती . मात्र रोहित शर्मा मोठा फटका खेळण्याच्या नादात तर शिखर धवन चोरटी धाव घेण्याच्या प्रयत्नान धावबाद होऊन माघारी परतला . यानंतर भारतीय संघ कसोटी क्रिकेटप्रमाणे पुन्हा अडचणीत सापडणार असं वाटत असतानाच विराट कोहली आणि अजिंक्य रहाणेच्या शतकी भागीदारीने भारताचा विजय सोपा केला . दक्षिण आफ्रिकेचे गोलंदाज आज भारतीय फलंदाजांवर अंकुश लावू शकले नाही . कसोटी क्रिकेटमध्ये चांगली कामगिरी करणाऱ्या मॉर्कल , रबाडा , फेलुक्वायो या सर्व गोलंदाजांना आज भारतीय फलंदाजांच्या फटकेबाजीचा सामना करावा लागला . मॉर्कल आणि फेलुक्वायो या गोलंदाजांना सामन्यात १ - १ यश मिळालं . याव्यतिरीक्त अन्य गोलंदाजांकडून पुरती निराशा पहायला मिळाली . अखेर अजिंक्य रहाणे आणि विराट कोहलीला माघारी परतल्यानंतर विजयासाठी आवश्यक असणाऱ्या औपचारिकता हार्दिक पांड्या आणि महेंद्रसिंह धोनी जोडीने पूर्ण केली . या विजयासह भारताने ६ वन - डे सामन्यांच्या मालिकेत १ - ० अशी आघाडी घेतली आहे . त्याआधी आफ्रिकेने कर्णधार फाफ डु प्लेसिसच्या शतकी खेळीच्या जोरावर भारतासमोर २७० धावांचं लक्ष्य ठेवलं . पहिल्याच सामन्यात आफ्रिकेचे फलंदाज भारताच्या फिरकीपटूंचा सामना करु शकले नाहीत . चांगल्या सुरुवातीनंतर आफ्रिकेचे एकामागोमाग एक फलंदाज माघारी परतत राहिले . अखेर कर्णधार डु प्लेसिसने ख्रिस मॉरिस आणि तळातल्या फलंदाजांना हाताशी धरुन आफ्रिकेला आश्वासक धावसंख्या गाठून दिली . भारताकडून कुलदीप यादवने ३ तर युझवेंद्र चहलने २ बळी घेतले ."
