"","age","type_employer","fnlwgt","education","education_num","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"6654",39,"Private",31670,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,65,"United-States","<=50K"
"6655",49,"Private",154451,"11th",7,"Divorced","Machine-op-inspct","Unmarried","Black","Female",0,0,35,"United-States","<=50K"
"6656",35,"Private",265535,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,50,"Jamaica",">50K"
"6657",31,"Private",118941,"Some-college",10,"Divorced","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K"
"6658",18,"Private",214617,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States","<=50K"
"6659",47,"Local-gov",265097,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",4386,0,40,"United-States",">50K"
"6660",46,"Private",276087,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",5013,0,50,"United-States","<=50K"
"6661",43,"Private",124692,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
"6662",51,"Federal-gov",306784,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",4386,0,40,"United-States",">50K"
"6663",21,"Private",434102,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6664",18,"?",387641,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,40,"United-States","<=50K"
"6665",31,"State-gov",181824,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,35,"United-States",">50K"
"6666",39,"Local-gov",177907,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1887,40,"United-States",">50K"
"6667",58,"Private",87329,"11th",7,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"United-States","<=50K"
"6668",36,"Private",263130,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6669",38,"Private",262882,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,40,"United-States","<=50K"
"6670",31,"Private",37546,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1902,35,"United-States",">50K"
"6671",19,"Private",27433,"11th",7,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6672",38,"Private",393945,"Assoc-voc",11,"Divorced","Tech-support","Not-in-family","White","Female",0,0,36,"United-States","<=50K"
"6673",26,"Private",173927,"Assoc-voc",11,"Never-married","Prof-specialty","Own-child","Other","Female",0,0,60,"Jamaica","<=50K"
"6674",38,"Private",343403,"Assoc-acdm",12,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,16,"United-States","<=50K"
"6675",36,"Private",111128,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
"6676",40,"Private",193882,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",">50K"
"6677",25,"Private",310864,"Bachelors",13,"Never-married","Tech-support","Not-in-family","Black","Male",0,0,40,"?","<=50K"
"6678",41,"Private",128354,"Bachelors",13,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,25,"United-States",">50K"
"6679",33,"Private",113364,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
"6680",63,"?",198559,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,16,"United-States","<=50K"
"6681",51,"Private",136913,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"6682",34,"Private",115488,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
"6683",33,"Private",154227,"Assoc-voc",11,"Divorced","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6684",25,"Private",279667,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
"6685",30,"Self-emp-not-inc",281030,"HS-grad",9,"Never-married","Sales","Unmarried","White","Male",0,0,66,"United-States","<=50K"
"6686",19,"Private",283945,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,25,"United-States","<=50K"
"6687",47,"Private",454989,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",">50K"
"6688",26,"Private",391349,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6689",21,"State-gov",166704,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,14,"United-States","<=50K"
"6690",36,"Private",151835,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,60,"United-States",">50K"
"6691",60,"Private",199085,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"6692",28,"Private",61487,"HS-grad",9,"Never-married","Prof-specialty","Unmarried","Black","Male",0,0,40,"United-States","<=50K"
"6693",19,"Private",120251,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,14,"United-States","<=50K"
"6694",42,"Private",273230,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,90,"United-States","<=50K"
"6695",36,"Private",358373,"HS-grad",9,"Separated","Machine-op-inspct","Not-in-family","Black","Female",0,0,36,"United-States","<=50K"
"6696",35,"Private",267891,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,38,"United-States","<=50K"
"6697",22,"Private",234880,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,25,"United-States","<=50K"
"6698",54,"Private",48358,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"6699",36,"Private",96452,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States","<=50K"
"6700",55,"Private",204751,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,65,"United-States","<=50K"
"6701",57,"Private",375868,"Masters",14,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
"6702",56,"Private",413373,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,36,"United-States","<=50K"
"6703",24,"Private",537222,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States","<=50K"
"6704",35,"Local-gov",33975,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"6705",51,"Self-emp-inc",162327,"11th",7,"Divorced","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6706",34,"Private",182691,"HS-grad",9,"Divorced","Exec-managerial","Own-child","White","Male",0,0,44,"United-States","<=50K"
"6707",36,"Private",300829,"Assoc-acdm",12,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,42,"United-States","<=50K"
"6708",51,"Local-gov",114508,"9th",5,"Separated","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K"
"6709",46,"Self-emp-inc",214627,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",">50K"
"6710",42,"Private",129684,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","Black","Female",5455,0,50,"United-States","<=50K"
"6711",25,"State-gov",120041,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6712",22,"Private",361138,"HS-grad",9,"Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,50,"United-States","<=50K"
"6713",37,"Private",76893,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"6714",48,"Private",205424,"Bachelors",13,"Divorced","Sales","Unmarried","White","Male",0,0,40,"United-States",">50K"
"6715",61,"Private",176839,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,50,"United-States",">50K"
"6716",40,"Private",229148,"12th",8,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"Jamaica","<=50K"
"6717",58,"Self-emp-inc",154537,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,20,"United-States",">50K"
"6718",52,"Private",181901,"HS-grad",9,"Married-spouse-absent","Farming-fishing","Other-relative","White","Male",0,0,20,"Mexico","<=50K"
"6719",18,"Private",152004,"11th",7,"Never-married","Other-service","Own-child","Black","Male",0,0,20,"United-States","<=50K"
"6720",27,"Private",205188,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"6721",48,"Self-emp-not-inc",30840,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",5013,0,45,"United-States","<=50K"
"6722",63,"Private",66634,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,16,"United-States","<=50K"
"6723",38,"Self-emp-not-inc",180220,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
"6724",31,"Private",291052,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,2051,40,"United-States","<=50K"
"6725",40,"Self-emp-not-inc",99651,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States","<=50K"
"6726",41,"Private",327723,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6727",28,"Private",32291,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",2174,0,40,"United-States","<=50K"
"6728",31,"Private",345122,"Prof-school",15,"Divorced","Prof-specialty","Not-in-family","White","Male",14084,0,50,"United-States",">50K"
"6729",32,"Private",127384,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,"United-States",">50K"
"6730",30,"Private",363296,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Male",0,0,72,"United-States","<=50K"
"6731",39,"Local-gov",86551,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,1876,40,"United-States","<=50K"
"6732",28,"Private",30070,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
"6733",31,"Private",595000,"HS-grad",9,"Never-married","Handlers-cleaners","Other-relative","Black","Female",0,0,35,"United-States","<=50K"
"6734",21,"?",152328,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,20,"United-States","<=50K"
"6735",33,"?",177824,"HS-grad",9,"Separated","?","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"6736",44,"State-gov",111483,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"6737",22,"Private",199555,"Some-college",10,"Never-married","Farming-fishing","Own-child","White","Male",0,0,25,"United-States","<=50K"
"6738",42,"Private",50018,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"?","<=50K"
"6739",36,"Private",218490,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,35,"United-States","<=50K"
"6740",39,"Private",49020,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Male",0,1974,40,"United-States","<=50K"
"6741",61,"Private",213321,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1672,40,"United-States","<=50K"
"6742",31,"Private",159187,"HS-grad",9,"Divorced","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
"6743",21,"Private",83033,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,25,"Germany","<=50K"
"6744",39,"Self-emp-not-inc",31848,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",2829,0,90,"United-States","<=50K"
"6745",34,"Self-emp-not-inc",24961,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,80,"United-States","<=50K"
"6746",21,"Private",182117,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,15,"United-States","<=50K"
"6747",75,"Self-emp-not-inc",146576,"Bachelors",13,"Widowed","Prof-specialty","Unmarried","White","Male",0,0,48,"United-States",">50K"
"6748",21,"Private",176690,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,24,"United-States","<=50K"
"6749",81,"Private",122651,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,15,"United-States","<=50K"
"6750",54,"Self-emp-inc",149650,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Male",0,0,40,"Canada","<=50K"
"6751",34,"Private",454508,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"Iran","<=50K"
"6752",54,"Self-emp-not-inc",269068,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",99999,0,50,"Philippines",">50K"
"6753",41,"Private",266530,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Amer-Indian-Eskimo","Male",0,0,45,"United-States","<=50K"
"6754",61,"?",198542,"Bachelors",13,"Divorced","?","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6755",63,"Private",133144,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",2580,0,20,"United-States","<=50K"
"6756",24,"Private",217961,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6757",20,"Private",221661,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"Mexico","<=50K"
"6758",44,"Local-gov",60735,"Bachelors",13,"Divorced","Prof-specialty","Own-child","White","Female",0,0,60,"United-States","<=50K"
"6759",47,"Self-emp-not-inc",121124,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
"6760",31,"Private",48588,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"6761",41,"Private",48087,"7th-8th",4,"Divorced","Craft-repair","Not-in-family","White","Male",0,1590,40,"United-States","<=50K"
"6762",53,"Self-emp-not-inc",240138,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
"6763",63,"Private",273010,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",3471,0,40,"United-States","<=50K"
"6764",44,"Private",104196,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
"6765",37,"Private",230035,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"United-States",">50K"
"6766",28,"Private",38918,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"Germany",">50K"
"6767",71,"?",205011,"Some-college",10,"Married-civ-spouse","?","Husband","White","Male",0,0,10,"United-States","<=50K"
"6768",57,"Private",176079,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6769",22,"Private",180052,"Some-college",10,"Never-married","Farming-fishing","Own-child","White","Male",0,0,10,"United-States","<=50K"
"6770",33,"Local-gov",173005,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1848,45,"United-States",">50K"
"6771",30,"Private",378723,"Some-college",10,"Divorced","Adm-clerical","Own-child","White","Female",0,0,55,"United-States","<=50K"
"6772",20,"Private",233624,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
"6773",28,"Private",192591,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
"6774",54,"Private",249860,"11th",7,"Divorced","Priv-house-serv","Unmarried","Black","Female",0,0,10,"United-States","<=50K"
"6775",20,"Private",247564,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,35,"United-States","<=50K"
"6776",34,"Private",238912,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
"6777",21,"Private",190227,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
"6778",29,"State-gov",293287,"Some-college",10,"Never-married","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"6779",51,"Private",180807,"Some-college",10,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"6780",39,"Private",250217,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,70,"United-States","<=50K"
"6781",19,"Private",217418,"Some-college",10,"Never-married","Adm-clerical","Other-relative","Black","Female",0,0,38,"United-States","<=50K"
"6782",22,"Local-gov",137510,"HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,40,"United-States","<=50K"
"6783",59,"State-gov",163047,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States","<=50K"
"6784",18,"Private",577521,"11th",7,"Never-married","Sales","Own-child","White","Male",0,0,13,"United-States","<=50K"
"6785",22,"Private",221533,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
"6786",42,"Local-gov",255675,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"6787",39,"Private",114079,"Assoc-acdm",12,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6788",31,"Private",155781,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
"6789",28,"Private",243762,"11th",7,"Separated","Craft-repair","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"6790",22,"Private",113062,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Female",0,0,7,"United-States","<=50K"
"6791",67,"Private",217028,"Masters",14,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6792",17,"Private",110723,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,25,"United-States","<=50K"
"6793",47,"Federal-gov",191858,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",">50K"
"6794",23,"Private",179423,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,5,"United-States","<=50K"
"6795",20,"Private",339588,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"Peru","<=50K"
"6796",22,"Private",206815,"HS-grad",9,"Never-married","Sales","Unmarried","White","Female",0,0,40,"Peru","<=50K"
"6797",47,"State-gov",103743,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
"6798",49,"Private",235683,"Some-college",10,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States",">50K"
"6799",64,"?",207321,"Some-college",10,"Married-civ-spouse","?","Husband","White","Male",0,0,20,"United-States","<=50K"
"6800",35,"State-gov",197495,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
"6801",52,"Federal-gov",424012,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6802",29,"Private",178469,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6803",73,"Self-emp-inc",92886,"10th",6,"Widowed","Sales","Unmarried","White","Female",0,0,40,"Canada","<=50K"
"6804",38,"Self-emp-not-inc",214008,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"6805",59,"Self-emp-not-inc",325732,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,52,"United-States",">50K"
"6806",35,"Private",28572,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",4064,0,35,"United-States","<=50K"
"6807",18,"Private",118376,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K"
"6808",24,"Private",51799,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"United-States","<=50K"
"6809",33,"Local-gov",115488,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"6810",40,"Private",190621,"Some-college",10,"Divorced","Exec-managerial","Other-relative","Black","Female",0,0,55,"United-States","<=50K"
"6811",55,"Private",193568,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6812",44,"Private",192878,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6813",40,"Private",264663,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,0,60,"United-States","<=50K"
"6814",22,"Private",234731,"HS-grad",9,"Divorced","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
"6815",55,"Private",308373,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",">50K"
"6816",45,"Private",205644,"HS-grad",9,"Separated","Tech-support","Not-in-family","White","Female",0,0,26,"United-States","<=50K"
"6817",47,"Local-gov",321851,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",">50K"
"6818",56,"Private",206399,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"6819",44,"Private",124563,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,0,40,"United-States","<=50K"
"6820",32,"State-gov",198211,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,38,"United-States","<=50K"
"6821",17,"Private",130795,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K"
"6822",44,"Private",71269,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"6823",32,"Self-emp-not-inc",319280,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Male",0,0,80,"United-States","<=50K"
"6824",35,"Private",125933,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States",">50K"
"6825",27,"Private",107236,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
"6826",32,"Private",32732,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"6827",68,"Private",284763,"11th",7,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,70,"United-States","<=50K"
"6828",20,"Private",112668,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K"
"6829",33,"Private",376483,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
"6830",24,"Private",402778,"9th",5,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,12,"United-States","<=50K"
"6831",48,"Private",36177,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
"6832",45,"Private",125489,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,50,"United-States","<=50K"
"6833",48,"Private",304791,"Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6834",28,"Private",209205,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
"6835",60,"?",112821,"Some-college",10,"Married-civ-spouse","?","Husband","White","Male",0,0,35,"United-States",">50K"
"6836",39,"Local-gov",178100,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"6837",23,"Private",70261,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States","<=50K"
"6838",23,"State-gov",186634,"12th",8,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"6839",36,"Private",32958,"Some-college",10,"Separated","Adm-clerical","Other-relative","White","Female",0,0,40,"United-States","<=50K"
"6840",25,"Private",254746,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States","<=50K"
"6841",52,"Private",158746,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"6842",35,"Self-emp-not-inc",140854,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"6843",41,"Private",51506,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
"6844",45,"Private",189564,"Bachelors",13,"Married-civ-spouse","Sales","Wife","White","Female",0,0,42,"United-States",">50K"
"6845",37,"Federal-gov",325538,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"?",">50K"
"6846",58,"Private",213975,"Assoc-voc",11,"Widowed","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"6847",67,"Self-emp-not-inc",431426,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,2,"United-States","<=50K"
"6848",48,"Private",199763,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,8,"United-States","<=50K"
"6849",63,"Private",161563,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,48,"United-States","<=50K"
"6850",24,"Local-gov",252024,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,72,"United-States",">50K"
"6851",43,"Private",43945,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"6852",36,"Private",178487,"HS-grad",9,"Divorced","Transport-moving","Own-child","White","Male",0,0,60,"United-States","<=50K"
"6853",32,"Private",604506,"HS-grad",9,"Married-civ-spouse","Transport-moving","Own-child","White","Male",0,0,72,"Mexico","<=50K"
"6854",36,"Private",228157,"Some-college",10,"Never-married","Craft-repair","Not-in-family","Asian-Pac-Islander","Male",0,0,40,"Laos","<=50K"
"6855",43,"Private",199191,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"6856",27,"Private",189775,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
"6857",17,"Private",171080,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K"
"6858",45,"Private",117310,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0,0,46,"United-States","<=50K"
"6859",41,"Self-emp-inc",82049,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"6860",41,"Self-emp-not-inc",126094,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,38,"United-States","<=50K"
"6861",18,"?",202516,"HS-grad",9,"Never-married","?","Own-child","White","Female",0,0,35,"United-States","<=50K"
"6862",48,"Local-gov",246392,"Assoc-acdm",12,"Separated","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
"6863",51,"?",69328,"Assoc-voc",11,"Married-civ-spouse","?","Husband","White","Male",0,0,50,"United-States",">50K"
"6864",26,"Private",292803,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,24,"United-States","<=50K"
"6865",54,"Private",286989,"Preschool",1,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,"United-States","<=50K"
"6866",22,"Private",190483,"Some-college",10,"Divorced","Sales","Own-child","White","Female",0,0,48,"Iran","<=50K"
"6867",19,"Private",235849,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,35,"United-States","<=50K"
