A1	A2	A3	A8	A9	A10	A11	A12	A14	A15	R1
1	36.33	3.79	1.165	1	1	0	0	200	0	0
1	30.08	1.04	0.5	1	0	10	0	132	28	0
1	44.25	11	1.5	1	1	0	1	0	0	0
1	23.58	0.46	2.625	1	0	6	0	208	347	0
1	23.92	1.5	1.875	1	0	6	1	200	327	1
1	33.17	1	0.75	1	0	7	0	340	4071	1
1	48.33	12	16	1	1	0	1	110	0	1
1	76.75	22.29	12.75	1	0	1	0	0	109	1
1	51.33	10	0	1	0	11	1	0	1249	1
1	34.75	15	5.375	1	0	9	0	0	134	1
1	38.58	3.335	4	1	0	14	1	383	1344	1
0	22.42	11.25	0.75	1	0	4	1	0	321	1
1	41.92	0.42	0.21	1	0	6	1	220	948	1
1	29.58	4.5	7.5	1	0	2	0	330	0	1
0	32.17	1.46	1.085	1	0	16	1	120	2079	1
1	51.42	0.04	0.04	1	1	0	1	0	3000	1
0	22.83	2.29	2.29	1	0	7	0	140	2384	1
0	25	12.33	3.5	1	0	6	1	400	458	1
1	26.75	1.125	1.25	1	1	0	1	0	5298	1
1	23.33	1.5	1.415	1	1	0	1	422	200	1
1	24.42	12.335	1.585	1	1	0	0	120	0	1
1	42.17	5.04	12.75	1	1	0	0	92	0	1
0	20.83	3	0.04	1	1	0	1	100	0	1
1	23.08	11.5	2.125	1	0	11	0	290	284	1
0	25.17	2.875	0.875	1	1	0	1	360	0	1
1	43.08	0.375	0.375	1	0	8	0	300	162	1
0	35.75	0.915	0.75	1	0	4	1	0	1583	1
1	59.5	2.75	1.75	1	0	5	0	60	58	1
1	21	3	1.085	1	0	8	0	160	1	1
1	21.92	0.54	0.04	1	0	1	0	840	59	1
0	65.17	14	0	1	0	11	0	0	1400	1
0	20.33	10	1	1	0	4	1	50	1465	1
1	32.25	0.165	3.25	1	0	1	0	432	8000	1
1	30.17	0.5	1.75	1	0	11	1	32	540	1
1	25.17	6	1	1	0	3	1	0	0	1
1	39.17	1.625	1.5	1	0	10	1	186	4700	1
1	39.08	6	1.29	1	0	5	0	108	1097	1
1	31.67	0.83	1.335	1	0	8	0	303	3290	1
1	41	0.04	0.04	0	0	1	1	560	0	1
1	48.5	4.25	0.125	1	1	0	0	225	0	1
1	32.67	9	5.25	1	1	0	0	154	0	1
0	28.08	15	0	1	1	0	1	0	13212	1
1	73.42	17.75	0	1	1	0	0	0	0	1
1	64.08	20	17.5	1	0	9	0	0	1000	1
1	51.58	15	8.5	1	0	9	1	0	0	1
1	26.67	1.75	1	1	0	5	0	160	5777	1
1	25.33	0.58	0.29	1	0	7	0	96	5124	1
1	30.17	6.5	3.125	1	0	8	1	330	1200	1
1	27	0.75	4.25	1	0	3	0	312	150	1
1	34.17	5.25	0.085	0	1	0	0	290	6	1
1	38.67	0.21	0.085	1	1	0	0	280	0	1
1	25.75	0.75	0.25	1	1	0	1	349	23	1
0	46.08	3	2.375	1	0	8	0	396	4159	1
0	21.5	6	2.5	1	0	3	1	80	918	1
1	20.5	2.415	2	1	0	11	0	200	3000	1
0	29.5	0.46	0.54	1	0	4	1	380	500	1
1	29.83	1.25	0.25	0	1	0	1	224	0	0
1	20.08	0.25	0.125	0	1	0	1	200	0	0
1	23.42	0.585	0.085	1	1	0	1	180	0	0
0	29.58	1.75	1.25	0	1	0	0	280	0	0
1	16.17	0.04	0.04	0	1	0	1	0	0	1
1	32.33	3.5	0.5	0	1	0	0	232	0	0
1	47.83	4.165	0.085	0	1	0	0	520	0	0
1	20	1.25	0.125	0	1	0	1	140	4	0
1	27.58	3.25	5.085	0	0	2	0	369	1	0
1	22	0.79	0.29	0	0	1	1	420	283	0
1	19.33	10.915	0.585	0	0	2	0	200	7	0
0	38.33	4.415	0.125	0	1	0	1	160	0	0
1	29.42	1.25	0.25	0	0	2	0	400	108	0
1	22.67	0.75	1.585	0	0	1	0	400	9	0
1	32.25	14	0	0	0	2	1	160	1	0
1	29.58	4.75	2	0	0	1	0	460	68	0
1	18.42	10.415	0.125	1	1	0	1	120	375	0
1	22.17	2.25	0.125	0	1	0	1	160	10	0
1	22.67	0.165	2.25	0	1	0	0	0	0	1
1	18.83	0	0.665	0	1	0	1	160	1	0
1	21.58	0.79	0.665	0	1	0	1	160	0	0
1	23.75	12	2.085	0	1	0	1	80	0	0
1	36.08	2.54	0	0	1	0	1	0	1000	0
1	29.25	13	0.5	0	1	0	1	228	0	0
0	19.58	0.665	1.665	0	1	0	1	220	5	0
0	22.92	1.25	0.25	0	1	0	0	120	809	0
0	27.25	0.29	0.125	0	0	1	0	272	108	0
0	38.75	1.5	0	0	1	0	1	76	0	0
1	32.42	2.165	0	0	1	0	1	120	0	0
0	23.75	0.71	0.25	0	0	1	0	240	4	0
1	18.17	2.46	0.96	0	0	2	0	160	587	0
1	40.92	0.5	0.5	0	1	0	0	130	0	0
1	19.5	9.585	0.79	0	1	0	1	80	350	0
1	28.58	3.625	0.25	0	1	0	0	100	0	0
1	35.58	0.75	1.5	0	1	0	0	231	0	0
1	34.17	2.75	2.5	0	1	0	0	232	200	0
1	31.58	0.75	3.5	0	1	0	0	320	0	0
0	52.5	7	3	0	1	0	1	0	0	0
1	36.17	0.42	0.29	0	1	0	0	309	2	0
1	37.33	2.665	0.165	0	1	0	0	0	501	0
0	20.83	8.5	0.165	0	1	0	1	0	351	0
1	24.08	9	0.25	0	1	0	0	0	0	0
1	25.58	0.335	3.5	0	1	0	0	340	0	0
0	35.17	3.75	0	0	0	6	1	0	200	0
1	48.08	3.75	1	0	1	0	1	100	2	0
0	15.83	7.625	0.125	0	0	1	0	0	160	0
0	22.5	0.415	0.335	0	1	0	0	144	0	0
1	21.5	11.5	0.5	1	1	0	0	100	68	0
0	23.58	0.83	0.415	0	0	1	0	200	11	0
0	21.08	5	0	0	1	0	1	0	0	0
1	25.67	3.25	2.29	0	0	1	0	416	21	0
0	38.92	1.665	0.25	0	1	0	1	0	390	0
0	15.75	0.375	1	0	1	0	1	120	18	0
0	28.58	3.75	0.25	0	0	1	0	40	154	0
1	22.25	9	0.085	0	1	0	1	0	0	0
1	29.83	3.5	0.165	0	1	0	1	216	0	0
0	23.5	1.5	0.875	0	1	0	0	160	0	0
1	32.08	4	1.5	0	1	0	0	120	0	0
1	31.08	1.5	0.04	0	1	0	1	160	0	0
1	31.83	0.04	0.04	0	1	0	1	0	0	0
0	21.75	11.75	0.25	0	1	0	0	180	0	0
0	17.92	0.54	1.75	0	0	1	0	80	5	0
1	30.33	0.5	0.085	0	1	0	0	252	0	0
1	51.83	2.04	1.5	0	1	0	1	120	1	0
1	47.17	5.835	5.5	0	1	0	1	465	150	0
1	25.83	12.835	0.5	0	1	0	1	0	2	0
0	50.25	0.835	0.5	0	1	0	0	240	117	0
0	37.33	2.5	0.21	0	1	0	1	260	246	0
0	41.58	1.04	0.665	0	1	0	1	240	237	0
0	30.58	10.665	0.085	0	0	12	0	129	3	0
1	19.42	7.25	0.04	0	0	1	1	100	1	0
0	17.92	10.21	0	0	1	0	1	0	50	0
0	20.08	1.25	0	0	1	0	1	0	0	0
1	19.5	0.29	0.29	0	1	0	1	280	364	0
1	27.83	1	3	0	1	0	1	176	537	0
1	17.08	3.29	0.335	0	1	0	0	140	2	0
1	36.42	0.75	0.585	0	1	0	1	240	3	0
1	40.58	3.29	3.5	0	1	0	0	400	0	0
1	21.08	10.085	1.25	0	1	0	1	260	0	0
0	22.67	0.75	2	0	0	2	0	200	394	0
0	25.25	13.5	2	0	0	1	0	200	1	0
1	17.92	0.205	0.04	0	1	0	1	280	750	0
1	35	3.375	8.29	0	1	0	0	0	0	0
